doi,journal,title,publisher,manual_license,manual_status,oag_license,oag_status,license_url,provenance,source
10.1002/anie.201202660,Angewandte Chemie,High-throughput interrogation of ligand binding mode using a fluorescence-based assay,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/anie.201202660/abstract;jsessionid=D3F1D580286D700E0B1D49FBADDBAB55.f04t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/anie.201202660/abstract;jsessionid=D3F1D580286D700E0B1D49FBADDBAB55.f04t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/anie.201204459,Angewandte Chemie,Site-Specific Identification of the Abeta Fibril-Glycosaminoglycan Interaction Site using Solid State NMR Spectroscopy,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/anie.201204459/abstract;jsessionid=3E55A1303243CD2AC563F3263AACE430.f04t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/anie.201204459/abstract;jsessionid=3E55A1303243CD2AC563F3263AACE430.f04t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/anie.201205676,Angewandte Chemie,Using ligand-mapping simulations to design a ligand selectively targeting a cryptic surface pocket of Polo-like kinase 1,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/anie.201205676/abstract;jsessionid=95B1023CB8DD392F7738604170FB022E.f03t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/anie.201205676/abstract;jsessionid=95B1023CB8DD392F7738604170FB022E.f03t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/anie.201302098,Angewandte Chemie,"Design and synthesis of cyclic ADP-4-thioribose as a stable equivalent of cyclic ADP-ribose, a calcium ion-mobilizing second messenger.",Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/anie.201302098/abstract;jsessionid=3C950A26582F39848BA34BE8F5B51B6F.f04t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/anie.201302098/abstract;jsessionid=3C950A26582F39848BA34BE8F5B51B6F.f04t02 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/art.27232,Arthritis & Rheumatism,Lack of effect of a single injection of human C-reactive protein on murine lupus or nephrotoxic nephritis,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/art.27232/abstract;jsessionid=478B22466CE2B85E7BBE461501908D3D.f01t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/art.27232/abstract;jsessionid=478B22466CE2B85E7BBE461501908D3D.f01t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/art.34451,Arthritis & Rheumatism,Distinct roles for complement in glomerulonephritis and atherosclerosis revealed in mice with a combination of lupus and hyperlipidemia,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/art.34451/abstract;jsessionid=2A8C795395B2A695094E4ACD050B1F44.f01t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/art.34451/abstract;jsessionid=2A8C795395B2A695094E4ACD050B1F44.f01t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/art.37921,Arthritis & Rheumatism,Metabolic profiling predicts response to anti-TNF_ therapy in patients with rheumatoid arthritis,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/art.37921/abstract;jsessionid=E9D9D279EF279FC1D47635F843732E54.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/art.37921/abstract;jsessionid=E9D9D279EF279FC1D47635F843732E54.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/art.38021,Arthritis & Rheumatism,The impact of inflammation on metabolomic profiles in patients with arthritis,Wiley-Blackwell,,,cc-nc,,http://onlinelibrary.wiley.com/doi/10.1002/art.38021/abstract;jsessionid=8AE06515A6565B7E5F443431DC68F00A.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/art.38021/abstract;jsessionid=8AE06515A6565B7E5F443431DC68F00A.f02t01 and looking for the following license statement: ""This is an open access article under the terms of the <!--TODO: clickthrough URL--><a href=""http://creativecommons.org/licenses/by-nc/3.0/"" title=""Link to external resource: http://creativecommons.org/licenses/by-nc/3.0/"" shape=""rect"">Creative Commons Attribution-NonCommercial</a> License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes."".",wellcome-12-13
10.1002/cbic.201200714,ChemBioChem,tructural insights into the recovery of aidolase activity in N-acetyl neuraminic acid lyase by replacement of the catelytically active lysine with gamma-thialysin using a chemical mutagenisis strategy,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201200714/abstract;jsessionid=EB0143DD8D8C6B4F9FE350E0D3CBA446.f01t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cbic.201200714/abstract;jsessionid=EB0143DD8D8C6B4F9FE350E0D3CBA446.f01t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/cbic.201300037,ChemBioChem,An Enzymatic Route to Selenazolines,Wiley-Blackwell,other,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300037/abstract;jsessionid=8F287AAF737326CC81C7AEFFA9DE5297.f03t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300037/abstract;jsessionid=8F287AAF737326CC81C7AEFFA9DE5297.f03t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/cbic.201300115,ChemBioChem,A Prototypical Small-Molecule Modulator Uncouples Mitochondria in Response to Endogenous Hydrogen Peroxide Production,Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300115/abstract;jsessionid=69D73BA595CDB8EBFFCE55BA8A2DD5B1.f04t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300115/abstract;jsessionid=69D73BA595CDB8EBFFCE55BA8A2DD5B1.f04t03 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/cbm.1837,Criminal Behavior and Mental Health,Testing the Cambridge Quality Checklists on a review of disrupted families and crime,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/cbm.1837/abstract;jsessionid=BE6EF309B5D8FB2AC900ED5EE7A52580.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cbm.1837/abstract;jsessionid=BE6EF309B5D8FB2AC900ED5EE7A52580.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/chem.201201302,Chemistry - European Journal,The use of electrospray mass spectrometry to determine speciation in a dynamic combinatorial library for anion recognition,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/chem.201201302/abstract;jsessionid=F38EA2ADAB5F0085C50BD6334F779EE1.f01t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/chem.201201302/abstract;jsessionid=F38EA2ADAB5F0085C50BD6334F779EE1.f01t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/cmdc.201300015,ChemMedChem,"Synthesis and structure-activity relationship studies of derivatives of the dual aromatase-sulfatase inhibitor 4-{[(4-cyanophenyl)(4H-1,2,4-triazol-4-yl)amino]methyl}phenyl sulfamate.",Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300015/abstract;jsessionid=BF4748BB571D2D9E95BF3B30D305DF77.f04t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300015/abstract;jsessionid=BF4748BB571D2D9E95BF3B30D305DF77.f04t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/cmdc.201300072,ChemMedChem,From On-Target to Off-Target Activity: Identification and Optimisation of Trypanosoma brucei GSK3 Inhibitors and Their Characterisation as Anti-Trypanosoma brucei Drug Discovery Lead Molecules,Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300072/abstract;jsessionid=261B878C183AD801DF3DCDA7B37E31AA.f01t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300072/abstract;jsessionid=261B878C183AD801DF3DCDA7B37E31AA.f01t04 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/cmdc.201300177,ChemMedChem,Structure-Activity Relationship Studies of Pyrrolone Antimalarial Agents,Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300177/abstract;jsessionid=EE1C2145CFFC06A724DA798A6D3AF3FD.f01t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/cmdc.201300177/abstract;jsessionid=EE1C2145CFFC06A724DA798A6D3AF3FD.f01t01 and looking for the following license statement: ""This is an open access article under the terms of the <!--TODO: clickthrough URL--><a href=""http://creativecommons.org/licenses/by/3.0/"" title=""Link to external resource: http://creativecommons.org/licenses/by/3.0/"" shape=""rect"">Creative Commons Attribution</a> License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited."".",wellcome-12-13
10.1002/da.20875,Journal of Depression & Anxiety,A Comparison of Melancholic and Non-Melancholic Recurrent Major Depression in Han Chinese Women,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/da.20875/abstract;jsessionid=18AB8DBB16022E2ECF9D66071AA9BE09.f04t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/da.20875/abstract;jsessionid=18AB8DBB16022E2ECF9D66071AA9BE09.f04t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/da.20878,Journal of Depression & Anxiety,Clinical Predictors of Familial Depression in Han Chinese Women,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/da.20878/abstract;jsessionid=D3EB670EF7DA85084D22C62AC6D8996A.f04t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/da.20878/abstract;jsessionid=D3EB670EF7DA85084D22C62AC6D8996A.f04t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/dvdy.23970,Development Dynamics,Expression of glycosaminoglycan epitopes during zebrafish skeletogenesis,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/dvdy.23970/abstract;jsessionid=A9F6C507EFDA493BFD599A05B92DE759.f04t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/dvdy.23970/abstract;jsessionid=A9F6C507EFDA493BFD599A05B92DE759.f04t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/dvg.22365,genesis: Journal of Genetics,The Caenorhabditis elegans homeobox gene ceh-19 is required for MC motoneuron function,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/dvg.22365/abstract;jsessionid=AFAF44C790E83CD5D71ABD9BD4B08023.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/dvg.22365/abstract;jsessionid=AFAF44C790E83CD5D71ABD9BD4B08023.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ece3.438,Ecology and Evolution,The bacterial parasite Pasteuria ramosa is not killed if it fails to infect: implications for coevolution,Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/ece3.438/abstract;jsessionid=5763B5EADE19662CE4D25DD83A23CA6B.f03t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ece3.438/abstract;jsessionid=5763B5EADE19662CE4D25DD83A23CA6B.f03t01 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/eji.201040528,European Journal of Immunology,"CD6 attenuates early and late signaling events, setting thresholds for T-cell activation",Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201040528/abstract;jsessionid=A2C2D60752145457B5A9DAE56029840A.f01t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201040528/abstract;jsessionid=A2C2D60752145457B5A9DAE56029840A.f01t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201142072,European Journal of Immunology,Rapid early innate control of hepatitis C virus during IFN-a treatment compromises adaptive CD4+ T-cell immunity,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201142072/abstract;jsessionid=F56B32297E36B4FAF088606623B89A0A.f02t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201142072/abstract;jsessionid=F56B32297E36B4FAF088606623B89A0A.f02t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201242575,European Journal of Immunology,Avidity of influenza-specific memory CD8+ T cell populations decays over time,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201242575/abstract;jsessionid=482E6E52CD0F76221934EE50864E5447.f04t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201242575/abstract;jsessionid=482E6E52CD0F76221934EE50864E5447.f04t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201242794,European Journal of Immunology,"ICOS controls Foxp3+ regulatory T cell expansion, maintenance, and IL-10 production during helminth infection",Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201242794/abstract;jsessionid=88C8D2B999432B390E1792BA104DADA3.f03t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201242794/abstract;jsessionid=88C8D2B999432B390E1792BA104DADA3.f03t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201242914,European Journal of Immunology,Dendritic cell modification as a route to inhibiting corneal graft rejection by the indirect pathway of allorecognition,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201242914/abstract;jsessionid=6DCBEB235E53E2572355BEFFDA71F99A.f03t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201242914/abstract;jsessionid=6DCBEB235E53E2572355BEFFDA71F99A.f03t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201242983,European Journal of Immunology,Salmonella polarises peptide-MHC-II presentation towards an unconventional Type B CD4+ T-cell response,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201242983/abstract;jsessionid=401EA2CFC3882CE962657D4AEF944891.f04t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201242983/abstract;jsessionid=401EA2CFC3882CE962657D4AEF944891.f04t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201243008,European Journal of Immunology,AMPK_1: A glucose sensor that controls CD8 T-cell memory.,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201243008/abstract;jsessionid=876B0F115B9862A43B2CE98383E736C3.f04t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201243008/abstract;jsessionid=876B0F115B9862A43B2CE98383E736C3.f04t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201243043,European Journal of Immunology,Ubiquitination of HLA-DO by MARCH family E3 ligases,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201243043/abstract;jsessionid=3B9ABDE143CE252A8F0EBD01397FE02A.f01t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201243043/abstract;jsessionid=3B9ABDE143CE252A8F0EBD01397FE02A.f01t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/eji.201343630,European Journal of Immunology,Long-lived Plasmodium falciparum-specific memory B cells in naturally exposed Swedish Travellers.,Wiley-Blackwell,,,cc-by,,http://onlinelibrary.wiley.com/doi/10.1002/eji.201343630/abstract;jsessionid=D08C2ADF93F4FA9108107E1701842422.f01t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/eji.201343630/abstract;jsessionid=D08C2ADF93F4FA9108107E1701842422.f01t01 and looking for the following license statement: ""This is an open access article under the terms of the <!--TODO: clickthrough URL--><a href=""http://creativecommons.org/licenses/by/3.0/"" title=""Link to external resource: http://creativecommons.org/licenses/by/3.0/"" shape=""rect"">Creative Commons Attribution</a> License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited."".",wellcome-12-13
10.1002/emmm.201100157,EMBO Molecular Medicine,Links between genetics and pathophysiology in the autism spectrum disorders,Wiley-Blackwell,,,failed-to-obtain-license,,,a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown,wellcome-12-13
10.1002/emmm.201201650,EMBO Molecular Medicine,Defining critical roles for NF-kB p65 and type I interferon in innate immunity to rhinovirus,Wiley-Blackwell,,,cc-by,,http://embomolmed.embopress.org/content/4/12/1244,"License decided by scraping the resource at http://embomolmed.embopress.org/content/4/12/1244 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/emmm.201201953,EMBO Molecular Medicine,Long-term p110alpha PI3K inactivation exerts a beneficial effect on metabolism,Wiley-Blackwell,,,cc-by,,http://embomolmed.embopress.org/content/5/4/563,"License decided by scraping the resource at http://embomolmed.embopress.org/content/5/4/563 and looking for the following license statement: ""under the terms of the Creative Commons Attribution License"".",wellcome-12-13
10.1002/gepi.20541,Genetic Epidemiology,A simple and fast two-locus quality control test to detect false positives due to batch effects in genome-wide association studies.,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/gepi.20541/abstract;jsessionid=81027FE3749957800E210FECC798C683.f01t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/gepi.20541/abstract;jsessionid=81027FE3749957800E210FECC798C683.f01t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/gepi.20630,Genetic Epidemiology,Transethnic meta-analysis of genome-wide association studies,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/gepi.20630/abstract;jsessionid=9378BE86A7315F6FADF21BF6E1E0FE8E.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/gepi.20630/abstract;jsessionid=9378BE86A7315F6FADF21BF6E1E0FE8E.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/gepi.21675,Genetic Epidemiology,Genome-wide association analyis of imputed rare variants: application to seven common complex diseases.,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/gepi.21675/abstract;jsessionid=201721B3AAAF87226C115EBDBAC23C11.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/gepi.21675/abstract;jsessionid=201721B3AAAF87226C115EBDBAC23C11.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/gepi.21746,Genetic Epidemology,Identification of grouped rare and common variants via penalized logisitc regression,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/gepi.21746/abstract;jsessionid=C73AC1E5183C52F5733DA732E980EF1F.f01t04,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/gepi.21746/abstract;jsessionid=C73AC1E5183C52F5733DA732E980EF1F.f01t04 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/glia.21052,Glia,Injury and differentiation following inhibition of mitochondrial respiratory chain complex IV in rat oligodendrocytes,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/glia.21052/abstract;jsessionid=F56DFD1EFECF85B97E5BA0EE94449C90.f02t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/glia.21052/abstract;jsessionid=F56DFD1EFECF85B97E5BA0EE94449C90.f02t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
