PMID/PMCID	Publisher	Journal title	Article title	COST (£) charged to Wellcome (inc VAT when charged)
PMC3590646	Taylor and Francis	American Journal of Bioethics--Neuroscience	Just How Cognitive is 'Cognitive Enhancement'? On the Significance of Emotions in University Students' Experiences with Study Drugs	2465.77
PMC3652920 	Dartmouth Journal Services	American Journal of Clinical Nutrition	DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women	1953.76
3813311	Oxford University Press	American Journal of Epidemiology	Prenatal exposures and anti-Müllerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children	2040
PMC3132275	Oxford University Press	American Journal of Epidemiology	Association between urban life-years and cardiometabolic risk: the Indian migration study	2040
PMCID: PMC3783091	Oxford University Press	American Journal of Epidemiology	Efficient design for Mendelian randomization studies: subsample and two-sample instrumental variable estimators	1700
PMID: 23907068 PMC3837358 	Elsevier	American Journal of Geriatric Psychiatry	The epidemiology of delirium: challenges and opportunities for population studies	2404.53
PMC3738821	Cell Press	American Journal of Human Genetics	ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy	2418.34
PMC3516598	Elsevier	American Journal of Human Genetics	Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis	2296.94
PMC3769921	Elsevier	American Journal of Human Genetics	Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance	2334.41
PMC3591859	Elsevier	American Journal of Human Genetics	Constitutional mutations in RTEL1 cause severe dyskeratosis congenita	2434.04
3567269	Elsevier	American Journal of Human Genetics	LRIG2 Mutations Cause Urofacial Syndrome	3938.82
PMC3470702	Wiley-Blackwell	American Journal of Medical Genetics	A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly	2307.01
published Sept 2013	Wiley-Blackwell	American Journal of Medical Genetics Part A	A Distinct Mitochondrial Myopathy, Lactic Acidosis and Sideroblastic Anaemia (MLASA) Phenotype Associates with YARS2 Mutations	1500
3947303	American Society for Investigative Pathology	American Journal of Pathology	Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling	995.31
PMID: 22898127 PMC3830178 	Elsevier	American Journal of Preventive Medicine	Physical activity and transitioning to retirement: a systematic review	2377.65
PMID: 23159264 PMC3834139 	Elsevier	American Journal of Preventive Medicine	Financial incentives to promote active travel: an evidence review and economic framework	2377.65
3708126	Elsevier	American Journal of Preventive Medicine	Sickle Cell Disease in Africa; a neglected cause of early childhood mortality 	1834.77
	American Psychiatric Association	American Journal of Psychiatry	Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms	2351.73
PMID: 23409903 23409903	American Public Health Association	American Journal of Public Health	Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area	1422.25
PMID:23331923	Wiley-Blackwell	American Journal of Transplantation	TNFa from classically activated macrophages accentuates epithelial to mesenchymal transitions in obliterative bronchiolitis	1884.3
PMC3746108	Wiley-Blackwell	American Journal of Transplantation	Biliary epithelial senescence and plasticity in acute cellular rejection	2373.84
PMC3440570	Wiley-Blackwell	American Journal of Transplantation	Low dose rapamycin treatment increases the ability of human regulatory T cells to inhibit transplant arteriosclerosis in vivo	1900.7
PMC3752812	Sheridan Press	American Journal of Tropical Medicine & Hygiene	Selection of antimalarial drug resistance after intermittent preventive treatment of infants and children (IPTi/c) in Senegal	1646.36
PMC3752809	Sheridan Press	American Journal of Tropical Medicine & Hygiene	Asymptomatic Plasmodium infection and cognition among primary schoolchildren in a high malaria transmission setting in Uganda	1646.36
PMC3516312	Sheridan Press	American Journal of Tropical Medicine & Hygiene	Assessment of the Molecular Marker of Plasmodium falciparum Chloroquine Resistance in Senegal after several years of chloroquine withdrawal.	1651.3
	American Society for Nutrition	American Society for Nutrition	The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa	45.94
PMC3475971	Springer	Anal Bioanal Chem.	Fragment screening of cyclin G-associated kinase by weak affinity chromatography.	1902.97
PMCID: PMC3740237	Elsevier	Analytical Biochemistry	An expression system for screening of proteins for glycan and protein interactions.	2381.62
PMC3530960	American Chemical Society	Analytical Chemistry	Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets	759.67
2.3072351E7	American Chemical Society	Analytical Chemistry	Amphipathic polymers facilitate the study of functional membrane in the gas phase	2082.74
PMC3477822	American Chemical Society	Analytical Chemistry	Quantitative dynamics of phosphorproteome: the devil is in the details	2314.1
23670821 PMC3738939 	Wiley-Blackwell	Angewandte Chemie	Design and synthesis of cyclic ADP-4-thioribose as a stable equivalent of cyclic ADP-ribose, a calcium ion-mobilizing second messenger.	3026.17
PMC3749465	Wiley-Blackwell	Angewandte Chemie	Site-Specific Identification of the Abeta Fibril-Glycosaminoglycan Interaction Site using Solid State NMR Spectroscopy	2979.91
	Wiley-Blackwell	Angewandte Chemie	Cysteine Promoted C-terminal Hydrazinolysis of Native Peptides and Proteins	2250
PMID:22961729 PMC3547296	Wiley-Blackwell	Angewandte Chemie	Using ligand-mapping simulations to design a ligand selectively targeting a cryptic surface pocket of Polo-like kinase 1	2437.19
PMID:22730171 PMC3556687	Wiley-Blackwell	Angewandte Chemie	High-throughput interrogation of ligand binding mode using a fluorescence-based assay	2437.19
PMID:21472932 PMC3555362 	Wiley-Blackwell	Angewandte Chemie	From crystal-packing to molecular recognition: prediction and discovery of a binding site on the surface of Polo-like Kinase 1	2437.19
PMC3791410	Elsevier	Animal Behaviour	Metabolic rate and body size are linked with perception of temporal information	1806.38
PMC3763379	Elsevier	Animal Behaviour	Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?	1816.38
PMC3532623	Wiley-Blackwell	Annals of Human Genetics	Association of FTO gene variants with body composition in UK twins	2234.61
PMC3698700 	Wiley-Blackwell	Annals of Neurology	Optic radiation tractography and vision in anterior temporal lobe resection	1500
PMC3580047	Wiley-Blackwell	Annals of Neurology	Mitochondrial DNA deletions and neurodegeneration in multiple sclerosis	2184.22
PMC3582024	Wiley-Blackwell	Annals of Neurology	Ischaemic stroke is associated with the ABO locus: the Euroclot study	2276.48
"PMC3638323
"	Wiley-Blackwell	Annals of Neurology	Glucocerebrosidase deficiency in substantia nigra of Parkinson's disease brains	2010.24
"PMC3698699

"	Wiley-Blackwell	Annals of Neurology	Mutations in the autoregulatory domain of ?-tubulin 4a cause hereditary dystonia	2010.24
PMC3783897	Taylor and Francis	Annals of Science	Systems, and How Linnaeus Looked At Them in Retrospect	2337.6
	Wiley-Blackwell	Annals of the New York Academy of Sciences	How serotonin shapes moral judgment and behavior	1500
PMC3495297	Wiley-Blackwell	Annals of the New York Academy of Sciences	What brain signals are suitable for feedback control of deep brain stimulation in Parkinson's disease	2293.27
PMID:23089748 PMC3535899 	Cadmus Journal Services	Antimicobial Agents and Chemotherapy	Elevated chitin content reduces the susceptibility of Candida species to caspofungin	1831.18
PMID: 23856774 PMC3811480 	American Society for Microbiology	Antimicrobial Agents and Chemotherapy	The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis	1287.19
PMCID: PMC3553740	American Society for Microbiology	Antimicrobial Agents and Chemotherapy	Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation	1287.2
PMID:23817378  PMCID: PMC3754341	American Society for Microbiology	Antimicrobial Agents and Chemotherapy	Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations	1521.66
PMCID: PMC:3697379	American Society for Microbiology	Antimicrobial Agents and Chemotherapy	Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay	1299.39
2.3877697E7	American Society for Microbiology	Antimicrobial Agfents and Chemotherapy	Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA	3750.05
PMC3526897	Mary Ann Liebert	Antioxidants & Redox Signaling	Oxidation of the Yeast Mitochondrial Thioredoxin Promotes Cell Death	1347.79
PMID:23706023	Mary Ann Liebert	Antioxidants and Redox Signaling	Ybp1 and Gpx3 signalling in Candida albicans govern hydrogen peroxide-induced oxidation of the Cap 1 transcription factor and macrophage escape	1681.9399999999998
2.3758132E7	Mary Ann Liebert	Antioxidants and Redox Signaling	Does oxidative inactivation of CD45 phosphatase in rheumatoid arthritis underlie immune hyporesponsiveness?	2528.64
Not yet available	Elsevier	Applied Energy	Associations of individual, household and environmental characteristics with carbon dioxide emissions from motorised passenger travel	2377.65
2.1903599E7	BMJ Group	Archives of Disease in Childhood	What causes attention deficit hyperactivity disorder ?	2040
2.4061777E7	BMJ Group	Archives of Disease in Childhood	Sleep patterns in children with autistic spectrum disorders: a prospective cohort study	2340
PMCID: PMC3576918	BMJ Group	Archives of Disease in Childhood	 Psychometric profile of children with auditory processing disorder (APD) and children with dyslexia	2040
"PMCID:
    PMC3625741
"	Wiley-Blackwell	Arthritis & Rheumatism	Lack of effect of a single injection of human C-reactive protein on murine lupus or nephrotoxic nephritis	1000
"PMCID:
    PMC3607248"	Wiley-Blackwell	Arthritis & Rheumatism	Distinct roles for complement in glomerulonephritis and atherosclerosis revealed in mice with a combination of lupus and hyperlipidemia	1500
	Wiley-Blackwell	Arthritis & Rheumatism	The circadian clock in chondrocytes regulates genes controlling key aspects of cartilage homeostasis	1969.02
23740368 PMC3840700 	Wiley-Blackwell	Arthritis and Rheumatism	The impact of inflammation on metabolomic profiles in patients with arthritis	1500
23460124 PMC3715109	Wiley-Blackwell	Arthritis and Rheumatism	Metabolic profiling predicts response to anti-TNFα therapy in patients with rheumatoid arthritis	1500
PMID:23971731	BioMed Central	Arthritis Research & rapy	Transcriptomic signatures in cartilage ageing	1608
	BioMed Central	Arthritis Research and rapy	Myeloid related protein induces muscle derived inflammatory mediators in juvenile dermatomyositis	1315.8
In Process	Elsevier	Asian Journal of Psychiatry	The explanatory models and coping strategies for alcohol use.	2014.59
PMCID: PMC3683944	Elsevier	Asian Journal of Psychiatry	Outcomes that matter: a qualitative study with persons with schizophrenia and their primary caregivers in India	2423.27
	Portland Press	ASN Neuro	Astrocytes and glutamate homeostasis in Alzheimer’s disease: a decrease in glutamine synthetase but not in glutamate transporter-1 in the prefrontal cortex.	1453.42
	Elsevier	Atherosclerosis	HGF/c-Met Signaling Promotes Notch3 Activation and Human Vascular Smooth Muscle Cell Osteogenic Differentiation In Vitro	2317.94
PMC3566542	Elsevier	Atherosclerosis	Increased expression of fatty acid binding protein 4 and leptin in resident macrophages characterises atherosclerotic plaque rupture	2404.27
22302008 PMC3405838	Landes Bioscience	Autophagy	"A cyto-protective mechanism which prevents
primary human hepatocyte apoptosis during oxidative stress"	601.1
	Taylor and Francis	Azania: Archaeological Research in Africa	Jebel Moya (Sudan): new dates from a mortuary complex at the southern Meroitic frontier	1823.76
PMC3787750	Elsevier	BBA - Molecular Basis of Disease	Mutations in mitcochondrial ribosomal protein MRPL12 leads to growth retardation, neurological deterioration and mitochondrial translation deficiency	2366.57
PMC3051108	Elsevier	Behavior Research and rapy	Clarifying boundaries of binge eating diorder and pyschiatric comorbidity: a latent sturcture analysis	2212.09
PMC3112491	Elsevier	Behavior Research and rapy	Therapist competence, therapy quality and therapist training	2335.37
23025831 PMC3462035 	American Psychological Association	Behavioral Neuroscience	Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory	3021.72
23731076 PMC3670620 	American Psychological Association	Behavioral Neuroscience	Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats	3209.63
23244291 PMC3569044	American Psychological Association	Behavioral Neuroscience	The Neural Basis of Nonvisual Object Recognition	3211.77
PMC3662031	Elsevier	Behavior Research and rapy	Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa	2269.53
PMC3662032	Elsevier	Behavior Research and rapy	Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa: an alternative to family therapy?	2269.53
"PMC3590452

"	Elsevier	Behavioural Brain Research	The telomeric part of the human chromosome 21 from Cstb to Prmt2 is not necessary for the locomotor and short-term memory deficits observed in the Tc1 mouse model of Down syndrome	2298.35
2.3162054E7	Oxford University Press	Biinformatics	mzMatch-ISO: an R tool for the annotation and relative quantification of isotope-labelled mass spectrometry data	1047
2.3713614E7	Biochem Journal	Biochemical Journal	Proteolytic Processing of QSOX1A Ensures Efficient Secretion of a Potent Disulfide Catalyst	1800
PMC3685328	Portland Press	BIOCHEM SOC TRANS	ZF-CXXC DOMAIN CONTAINING PROTEINS, CPG ISLANDS & THE CHROMATIN CONNECTION	1800
"PMCID:
    PMC3759847
"	Elsevier	Biochemical and Biophysical Research Communications	Differential COX-2 induction by viral and bacterial PAMPs: consequences for cytokine and interferon responses and implications for anti-viral COX-2 directed therapies	1475.4
PMID:22326920 PMC3480643 	Elsevier	Biochemical and Biophysical Research Communications	Biochemical characterization of recombinant Candida albicans mannosyltransferases Mnt1, Mnt2 and Mnt5 reveals functions in O- and N-mannan biosynthesis	2246.4
3685266	Portland Press	Biochemical Journal	The dynamic action of SecA during the initiation of protein translocation	1800
PMID: 20377523 PMC3685215 	Portland Press	Biochemical Journal	Three dimensional structure of recombinant type 1 inositol 1,4,5-trisphosphate receptor	1800
PMID: 23009366  PMC3685217 	Portland Press	Biochemical Journal	Activation of IP3 receptors requires an endogenous 1-8-14 calmodulin-binding motif	1800
PMC3583032	Portland Press	Biochemical Journal	Structure and mechanism of the PilF DNA transformation ATPase from Thermus thermophilus	2050
PMCID: PMC3632086	Portland Press	Biochemical Journal	The P-body component USP52/PAN2 is a novel regulator of HIF1A mRNA stability.	1800
PMCID: PMC3635657	Portland Press	Biochemical Journal	Characterization of a pre-export enzyme-chaperone complex on the twin-arginine transport pathway	1800
PMCID: PMC3778709	Portland Press	Biochemical Journal	Ube2W conjugates ubiquitin to α-amino groups of protein N-termini.	1800
PMCID: PMC3778707	Portland Press	Biochemical Journal	Human cap methyltransferase (RNMT) N-terminal non-catalytic domain mediates recruitment to transcription initiation sites.	1800
PMCID: PMC3526858	Portland Press	Biochemical Journal	Characterization of Staphylococcus aureus EssB, an integral membrane component of the Type VII secretion system: atomic resolution crystal structure of the cytoplasmic segment.	2100
PMCID: PMC3631101	Portland Press	Biochemical Journal	The AMPK-related kinase SIK2 is regulated by cAMP via phosphorylation at Ser358 in adipocytes	2100
PMCID:PMC3542821	Portland Press	Biochemical Journal	CFTR mutations altering CFTR fragmentation	2100
	Portland Press	Biochemical Journal	The proteasome cap RPT5/Rpt5p subunit prevents aggregation of unfolded ricin A Chain	2100
PMC3526116	Portland Press	Biochemical Journals	Generation and characterisation of a lysosomally targeted, genetically encoded Ca2+- sensor	1800
PMC3694296	Elsevier	Biochemical Pharmacology	11β-Hydroxysteroid dehydrogenase type 1 contributes to the balance between 7-keto- and 7-hydroxy-oxysterols in vivo	2961.924
PMID: 23356304  PMC3561678 	Portland Press	Biochemical Society Transactions	End-resection at DNA double-strand breaks in the three domains of life	900
PMID: 23697937  PMC3685327 	Portland Press	Biochemical Society Transactions	CHD4 in the DNA-damage response and cell-cycle progression: not so NuRDy now	2100
" PMCID:
    PMC3554041
 "	Portland Press	Biochemical Society Transactions	Novel functions for Rab GTPases in multiple aspects of tumour progression	1800
 PMC3413243	American Chemical Society	Biochemistry	Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6	665.64
PMID: 23459248 	Elsevier	Biochimica et Bioohysica Acta - Gene Regulatory Mechanisms	The social fabric of the RNA degradosome	2476.42
PMID: 23085491  PMC3714738 	Elsevier	Biochimica et Bioohysica Acta - Molecular Basis of Disease	The hereditary spastic paraplegia protein strumpellin: characterisation in neurons and of the effect of disease mutations on WASH complex assembly and function	2307.23
PMC3793867	Elsevier	Biochimica et Biophysica Acta - Molecular Basis of Disease	Serotonin paracrine signalling in tissue fibrosis	2370.96
	Elsevier	Biochimica et Biophysica Acta - Molecular Cell Research	Mitophagy and Parkinson's disease: the PINK1-parkin link	2415.37
PMC3585959	Elsevier	Biochimie	11β-Hydroxysteroid dehydrogenase type 1 contributes to the regulation of 7-oxysterol levels in the arterial wall through the inter-conversion of 7-ketocholesterol and 7β-hydroxycholesterol.	2315.48
23458425 PMC3630740 	American Chemical Society	Bioconjugate Chemistry	Design, synthesis and functional activity of labelled CD'ld glycoupid agonists	1565.26
3654172	Wiley-Blackwell	Bioethics	What Can History Do for Bioethics?	1901.02
PMC3579232 	Wiley-Blackwell	Bioethics	Free Riders and Pious Sons - Why Science Research Remains Obligatory	1969.41
PMC3660781	Wiley-Blackwell	Bioethics	Presidential Address: The ethics of recognition, responsibility and respect 	1969.41
PMC3709132	Wiley-Blackwell	Bioethics	Health, vital goals, and central human capabilities	1898.01
3847282	Springer	Biogerontology	Shared Ageing Research Models (ShARM): A new facility to support ageing	2282.59
PMC3546795	Oxford University Press	Bioinformatics	A Beta-Mixture Quantile Normalisation method for correcting probe design bias in Illumina Infinium 450k DNA methylation data	1700
"PMC3570213
"	Oxford University Press	Bioinformatics	The product of C9orf72, a gene strongly implicated in neurodegeneration, is structurally related to DENN Rab-GEFs	1700
PMCID: PMC3476336	Oxford University Press	Bioinformatics	A robust model for read count data in exome sequencing experiments and implications for copy number variant calling	2040
PMID: 23658422 PMC3694669	Oxford University Press	Bioinformatics	FYPO: the fission yeast phenotype ontology	2100
PMC3413389	Oxford University Press	Bioinformatics Online	ChromoHub: a data hub for navigators of chromatin-mediated signalling.	850
PMC3496338	Oxford University Press	Bioinformatics Online	GREVE: Genomic Recurrent Event ViEwer to assist the identification of patterns across individual cancer samples.	850
PMC3546802	Oxford University Press	Bioinformatics Online	Scaffolding low quality genomes using orthologous protein sequences	1700
PMCID: 3507208	The Company of Biologists	Biology Open	DROSOPHILA SYNCRIP BINDS THE GURKEN MRNA LOCALISATION SIGNAL & REGULATES LOCALISED TRANSCRIPTS	1014.74
PMCID: 3581401	American Society for Biochemistry and Molecular Biology	Biological Chemistry	MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION	946.55
PMC3314969	Elsevier	Biological Psychiatry	COMT Val158Met Genotyp Determines the Direction of Cognitive Effects Produced by Catechol-O-Methyltrasferse Inhibition	2142.93
PMID: 23245760	Elsevier	Biological Psychiatry	Neural and behavioural aspects of a novel mu opeid receptor antagonist in binge-eating obese people	2330.13
PMID: 23452663	Elsevier	Biological Psychiatry	Counterfactual processing of economic action-outcome alternatives in obsessive-compulsive disorder: further evidence of impaired goal-directed behaviour	2429.17
