DOI/PMID,Cost type,Cost (€),Article title,Journal title,Publisher,Year of publication,Open Access,Notes
10.1007/s11105-013-0614-z,Hybrid Open Access," € 2,618.00 ",Comparison of Expression Vectors for Transient Expression of Recombinant Proteins in Plants.,Plant Molecular Biology Reporter,SPRINGER VERLAG,2013,OA,
10.1007/s11105-013-0614-z,Other publication costs," € 1,130.50 ",Comparison of Expression Vectors for Transient Expression of Recombinant Proteins in Plants.,Plant Molecular Biology Reporter,SPRINGER VERLAG,2013,OA,
10.1016/j.fsigen.2013.05.005,Hybrid Open Access," € 2,230.21 ",Comparison of morphological and molecular genetic sex-typing on mediaeval human skeletal remains.,Forensic Science International: Genetics,ELSEVIER,2013,OA,
10.1007/s10529-013-1180-z,Hybrid Open Access," € 2,618.00 ",Comparison of periplasmic and intracellular expression of Arabidopsis thionin proproteins in E. coli.,Biotechnology Letters,SPRINGER VERLAG,2013,OA,
10.1002/xrs.2521,Hybrid Open Access," € 2,688.77 ",Comparison of two confocal micro-XRF spectrometers with different design aspects.,X-Ray Spectrometry,WILEY-BLACKWELL,2013,OA,
10.1016/j.jecp.2012.10.008,Hybrid Open Access," € 1,625.49 ",Competition as rational action: Why young children cannot appreciate competitive games.,Journal of Experimental Child Psychology,ELSEVIER,2013,OA,
10.1371/journal.pone.0067048,Gold Open Access," € 1,252.04 ",Complete Mitochondrial DNA Sequences of the Threadfin Cichlid (Petrochromis trewavasae) and the Blunthead Cichlid (Tropheus moorii) and Patterns of Mitochondrial Genome Evolution in Cichlid Fishes.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1063/1.4819209,Hybrid Open Access," € 1,629.49 ",Complex band structures of two dimensional phononic crystals: Analysis by the finite element method.,Journal of Applied Physics,AMERICAN INSTITUTE OF PHYSICS (AIP),2013,OA,
10.1063/1.4819209,Other publication costs, € 113.88 ,Complex band structures of two dimensional phononic crystals: Analysis by the finite element method.,Journal of Applied Physics,AMERICAN INSTITUTE OF PHYSICS (AIP),2013,OA,
10.1021/cg301506x,Hybrid Open Access," € 2,058.62 ","Complex Polymorphic System of Gallic Acid—Five Monohydrates, Three Anhydrates, and over 20 Solvates.",Crystal Growth and Design,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1016/j.yjmcc.2013.03.020,Hybrid Open Access," € 2,676.26 ",Components of the interleukin-33/ST2 system are differentially expressed and regulated in human cardiac cells and in cells of the cardiac vasculature.,Journal of Molecular and Cellular Cardiology,ELSEVIER,2013,OA,
10.1016/j.jmbbm.2013.07.004,Hybrid Open Access," € 2,230.21 ",Computational and experimental methodology for site-matched investigations of the influence of mineral mass fraction and collagen orientation on the axial indentation modulus of lamellar bone.,Journal of the Mechanical Behavior of Biomedical Materials,ELSEVIER,2013,OA,
10.1016/j.cplett.2012.05.023,Hybrid Open Access," € 2,347.93 ",Computational study of the cerium(III) ion in aqueous environment.,Chemical Physics Letters,ELSEVIER,2012,OA,
10.1016/j.cageo.2012.04.003,Hybrid Open Access," € 2,347.83 ",Computed 3D visualisation of an extinct cephalopod using computer tomographs.,Computers and Geosciences,ELSEVIER,2012,OA,
10.1186/1471-2415-13-59,Gold Open Access," € 1,575.90 ",Computer-assisted counting of retinal cells by automatic segmentation after TV denoising.,BMC Ophthalmology,BIOMED CENTRAL,2013,OA,
10.1021/am303048y,Hybrid Open Access," € 2,077.12 ","Conceptual Design of Large Surface Area Porous Polymeric Hybrid Media Based on Polyhedral Oligomeric Silsesquioxane Precursors: Preparation, Tailoring of Porous Properties, and Internal Surface Functionalization.",ACS applied materials & interfaces,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1371/journal.pone.0075811,Gold Open Access," € 1,239.45 ",Conditional and Specific Cell Ablation in the Marine Annelid Platynereis dumerilii.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1021/cb4003199,Hybrid Open Access," € 1,969.01 ",Conformationally Constrained Lipid A Mimetics for Exploration of Structural Basis of TLR4/MD-2 Activation by Lipopolysaccharide.,ACS chemical biology,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.ejop.2012.01.007,Hybrid Open Access," € 1,625.42 ","Congruence and indifference between two molecular markers for understanding oral evolution in the Marynidae sensu lato (Ciliophora, Colpodea).",European Journal of Protistology,ELSEVIER,2012,OA,
10.3390/d5020374,Gold Open Access, € 471.98 ,Conservation of Protists: The Krauthügel Pond in Austria.,DIVERSITY,MDPI,2013,OA,
10.1051/0004-6361/201219055,Other publication costs, € 577.80 ,Constraining the structure and formation of the Galactic bulge from a field in its outskirts.,Astronomy and Astrophysics,EDP SCIENCES,2012,,
10.1016/j.ejc.2012.03.011,Hybrid Open Access," € 2,709.03 ",Context-free pairs of groups I: Context-free pairs and graphs,European Journal of Combinatorics,ELSEVIER,2012,OA,
10.1016/j.cl.2013.04.002,Hybrid Open Access," € 1,338.13 ",Context-sensitive trace inlining for Java.,"Computer Languages, Systems and Structures",ELSEVIER,2013,OA,
10.1088/1367-2630/14/11/115004,Gold Open Access, € 825.00 ,Continuous mode cooling and phonon routers for phononic quantum networks.,New Journal of Physics,IOP PUBLISHING,2012,OA,
10.1016/j.tetasy.2013.05.003,Hybrid Open Access," € 1,605.75 ","Controlling stereoselectivity by enzymatic and chemical means to access enantiomerically pure (1S,3R)-1-benzyl-2,3-dimethyl-1,2,3,4-tetrahydroisoquinoline derivatives .",Tetrahedron Asymmetry,ELSEVIER,2013,OA,
10.1016/j.cam.2013.06.009,Hybrid Open Access," € 1,784.17 ",Convergence and quasi-optimality of adaptive FEM with inhomogeneous Dirichlet data.,Journal of Computational and Applied Mathematics,ELSEVIER,2014,OA,
10.1016/j.celrep.2012.06.016,Gold Open Access," € 4,573.87 ",Convergent Evolution of Sodium Ion Selectivity in Metazoan Neuronal Signaling.,CELL REPORTS,ELSEVIER,2012,OA,
10.1016/j.tourman.2013.07.010,Hybrid Open Access," € 1,605.75 ","Convinced, ambivalent or annoyed: Tyrolean ski tourism stakeholders and their perceptions of climate change.",Tourism Management,ELSEVIER,2014,OA,
10.1021/bi400502c,Hybrid Open Access," € 1,969.01 ",Cooperative Unfolding of Compact Conformations of the Intrinsically Disordered Protein Osteopontin.,Biochemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1002/ejic.201301281,Hybrid Open Access," € 2,500.00 ","Coordination Behaviour of a Hexadentate 1,1-Ferrocenylene-Bridged Bisphosphole towards Coinage Metal Centres.",European Journal of Inorganic Chemistry,WILEY-BLACKWELL,2013,OA,
10.1021/om400215v,Hybrid Open Access," € 2,050.96 ",Coordination Chemistry of Disilylated Germylenes with Group 4 Metallocenes.,Organometallics,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1021/ja401548d,Hybrid Open Access," € 2,050.96 ",Coordination Chemistry of Disilylated Stannylenes with Group 10 d10 Transition Metals: Silastannene vs Stannylene Complexation.,Journal of the American Chemical Society,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1007/s00227-013-2354-x,Hybrid Open Access," € 2,640.00 ",Coral architecture affects the habitat choice and form of associated gobiid fishes.,Marine Biology,SPRINGER VERLAG,2013,OA,
10.1016/j.ygcen.2012.12.013,Hybrid Open Access," € 2,676.26 ",Corticosterone metabolism by chicken follicle cells does not affect ovarian reproductive hormone synthesis in vitro.,General and Comparative Endocrinology,ELSEVIER,2013,OA,
10.1016/j.jecp.2012.10.010,Hybrid Open Access," € 1,625.49 ",Counterfactual Reasoning: From childhood to adulthood.,Journal of Experimental Child Psychology,ELSEVIER,2013,OA,
10.1371/journal.pone.0063125,Gold Open Access," € 1,032.89 ",Cross-Platform Microarray Meta-Analysis for the Mouse Jejunum Selects Novel Reference Genes with Highly Uniform Levels of Expression.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.4161/cc.24095,Hybrid Open Access, € 458.37 ,Crosstalk between casein kinase II and Ste20-related kinase Nak1.,Cell Cycle,LANDES BIOSCIENCE,2013,OA,
10.4161/cc.24095,Other publication costs," € 1,017.57 ",Crosstalk between casein kinase II and Ste20-related kinase Nak1.,Cell Cycle,LANDES BIOSCIENCE,2013,OA,
10.1021/ja3068269,Hybrid Open Access," € 2,033.25 ",Cross-trienamines in Asymmetric Organocatalysis.,Journal of the American Chemical Society,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1016/j.str.2013.04.003,Hybrid Open Access," € 4,460.43 ",Crystal Structures of the Viral Protease Npro Imply Distinct Roles for the Catalytic Water in Catalysis.,Structure,ELSEVIER,2013,OA,
10.1016/j.str.2013.04.003,Other publication costs," € 1,575.06 ",Crystal Structures of the Viral Protease Npro Imply Distinct Roles for the Catalytic Water in Catalysis.,Structure,ELSEVIER,2013,OA,
10.1016/j.jmb.2012.05.016,Hybrid Open Access," € 1,986.62 ",Crystallographically Mapped Ligand Binding Differs in High and Low IgE Binding Isoforms of Birch Pollen Allergen Bet v 1.,Journal of Molecular Biology,ELSEVIER,2012,OA,
10.1016/j.intimp.2013.02.007,Hybrid Open Access," € 2,676.26 ",CTLA4-Ig immunosuppressive activity at the level of dendritic cell/T cell crosstalk.,International Immunopharmacology,ELSEVIER,2013,OA,
10.1016/j.cell.2013.09.050,Hybrid Open Access," € 3,786.75 ",CtpB Assembles a Gated Protease Tunnel Regulating Cell-Cell Signaling during Spore Formation in Bacillus subtilis.,Cell,ELSEVIER,2013,OA,
10.1007/s00710-012-0234-6,Hybrid Open Access," € 2,400.00 ","Cu- and Mn-bearing tourmalines from Brazil and Mozambique: crystal structures, chemistry and correlations.",Mineralogy and Petrology,SPRINGER VERLAG,2012,OA,
10.1016/j.tox.2011.12.002,Hybrid Open Access," € 1,354.52 ",Curcumin affects cell survival and cell volume regulation in human renal and intestinal cells,Toxicology,ELSEVIER,2012,OA,
10.1016/j.yexcr.2012.12.001,Hybrid Open Access," € 1,625.49 ",Curcumin targets fibroblast-tumor cell interactions in oral squamous cell carcinoma.,Experimental Cell Research,ELSEVIER,2013,OA,
10.1021/om400365v,Hybrid Open Access," € 2,050.96 ",Cyclic Disilylated and Digermylated Germylenes.,Organometallics,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1002/bip.22328,Hybrid Open Access," € 2,287.46 ",Cyclotide discovery in gentianales revisited - identification and characterization of cyclic cystine-knot peptides and their phylogenetic distribution in Rubiaceae plants.,Biopolymers,WILEY-BLACKWELL,2013,OA,
10.1371/journal.pone.0068016,Gold Open Access," € 1,044.89 ",Cyclotides Suppress Human T-Lymphocyte Proliferation by an Interleukin 2-Dependent Mechanism.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1105/tpc.113.112151,Hybrid Open Access," € 1,560.20 ",Cytochrome P450 CYP89A9 Is Involved in the Formation of Major Chlorophyll Catabolites during Leaf Senescence in Arabidopsis.,Plant Cell,AMERICAN SOCIETY OF PLANT BIOLOGISTS,2013,OA,
10.1105/tpc.113.112151,Other publication costs," € 1,055.07 ",Cytochrome P450 CYP89A9 Is Involved in the Formation of Major Chlorophyll Catabolites during Leaf Senescence in Arabidopsis.,Plant Cell,AMERICAN SOCIETY OF PLANT BIOLOGISTS,2013,OA,
10.1021/nl3030938,Hybrid Open Access," € 2,058.62 ",Dark Plasmonic Breathing Modes in Silver Nanodisks.,Nano Letters,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1038/cddis.2013.470,Gold Open Access," € 2,880.00 ",Death of p53-defective cells triggered by forced mitotic entry in the presence of DNA-damage is not uniquely dependent on Caspase-2 or the PIDDosome.,CELL DEATH AND DISEASE,NATURE PUBLISHING GROUP,2013,OA,
10.1093/molbev/mst196,Hybrid Open Access," € 2,250.00 ",Decisive Data Sets in Phylogenomics: Lessons from Studies on the Phylogenetic Relationships of Primarily Wingless Insects.,Molecular Biology and Evolution,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1016/j.marpetgeo.2012.10.001,Hybrid Open Access," € 2,257.62 ","Deformation bands evolving from dilation to cementation bands in a hydrocarbon reservoir (Vienna Basin, Austria).",Marine and Petroleum Geology,ELSEVIER,2013,OA,
10.1016/j.cmpb.2011.12.012,Hybrid Open Access," € 2,257.53 ",Delaunay triangulation-based pit density estimation for the classification of polyps in high-magnification chromo-colonoscopy.,Biomedicine,ELSEVIER,2012,OA,
10.1016/j.palaeo.2012.11.021,Hybrid Open Access," € 2,257.62 ","Delta-associated molluscan life and death assemblages in the northern Adriatic Sea: Implications for paleoecology, regional diversity and conservation","Palaeogeography, Palaeoclimatology, Palaeoecology",ELSEVIER,2013,OA,
10.1126/science.1214707,Other publication costs," € 2,278.32 ",Demonstration of Blind Quantum Computing.,Science,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2012,OA,
10.1016/j.jtbi.2013.05.029,Hybrid Open Access," € 1,962.59 ",Density games.,Journal of Theoretical Biology,ELSEVIER,2013,OA,
10.1016/j.enpol.2012.04.066,Hybrid Open Access, € 903.10 ,"Dependency of global primary bioenergy crop potentials in 2050 on food systems, yields, biodiversity conservation and political stability",Energy Policy,ELSEVIER,2012,OA,
10.1002/ange.201207671,Hybrid Open Access," € 3,360.00 ",Der Multiradikalcharakter ein- und zweidimensionaler Graphen-Nanobänder,Angewandte Chemie,WILEY-BLACKWELL,2013,OA,
10.1016/j.ejop.2012.09.001,Hybrid Open Access," € 1,625.42 ","Description of two new Drepanomonas taxa and an account on features defining species in Drepanomonas Fresenius, 1858 (Ciliophora, Microthoracida).",European Journal of Protistology,ELSEVIER,2013,OA,
10.3389/fpls.2013.00327,Gold Open Access," € 1,152.00 ","Desiccation stress and tolerance in green algae: consequences for ultrastructure, physiological, and molecular mechanisms.",FRONTIERS IN PLANT SCIENCE,FRONTIERS RESEARCH FOUNDATION,2013,OA,
10.1016/j.laa.2011.05.016,Hybrid Open Access," € 1,625.42 ","Design, parametrization, and pole placement of stabilizing output feedback compensators via injective cogenerator quotient signal modules.",Linear Algebra and Its Applications,ELSEVIER,2012,OA,
10.1016/j.inoche.2012.04.034,Hybrid Open Access," € 2,979.94 ","Design, synthesis and characterization of a modular bridging ligand platform for bio-inspired hydrogen production.",Inorganic Chemistry Communication,ELSEVIER,2012,OA,
10.1021/jp402105j,Hybrid Open Access," € 2,050.96 ",Detecting Repetitions and Periodicities in Proteins by Tiling the Structural Space.,Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1111/j.1398-9995.2006.01171.x,Other publication costs, € 360.00 ,"Detection of novel leukocyte differentiation antigens on basophils and mast cells by
HLAD8 antibodies.",Allergy: European Journal of Allergy and Clinical Immunology,WILEY-BLACKWELL,2006,,
10.3109/13693786.2013.809631,Hybrid Open Access," € 3,423.66 ",Detection of Pneumocystis infections by in situ hybridization in lung samples of Austrian pigs with interstitial pneumonia.,Medical Mycology,INFORMA HEALTHCARE,2013,OA,
10.1007/s00216-013-7239-9,Hybrid Open Access," € 2,618.00 ",Determination of carbohydrates present in Saccharomyces cerevisiae using mid-infrared spectroscopy and partial least squares regression.,Analytical and Bioanalytical Chemistry,SPRINGER VERLAG,2013,OA,
10.1016/j.bpj.2012.06.019,Other publication costs, € 420.50 ,Determination of Interaction Kinetics between the T Cell Receptor and Peptide-Loaded MHC Class II via Single-Molecule Diffusion Measurements.,Biophysical Journal,ELSEVIER,2012,,
10.1371/journal.pone.0070385,Gold Open Access," € 1,059.24 ",Development and Dematerialization: An International Study.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.arth.2012.08.026,Hybrid Open Access," € 2,257.62 ",Development Of A Computer-Adaptive Version Of The Forgotten Joint Score.,Journal of Arthroplasty,ELSEVIER,2013,OA,
10.1371/journal.pone.0081481,Gold Open Access, € 985.40 ,Development of a Site-Directed Integration Plasmid for Heterologous Gene Expression in Mycoplasma gallisepticum.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.3732/ajb.1200218,Hybrid Open Access, € 120.25 ,"Development of microsatellite markers in species of Erigeron (Asteraceae) endemic to the Juan Fernandez Archipelago, Chile.",American Journal of Botany,BOTANICAL SOCIETY OF AMERICA,2012,OA,
10.1002/pros.22691,Hybrid Open Access," € 2,400.00 ",Dickkopf-related protein 3 promotes pathogenic stromal remodeling in benign prostatic hyperplasia and prostate cancer.,The Prostate. Supplement,WILEY-BLACKWELL,2013,OA,
10.1002/pros.22691,Other publication costs," € 1,073.44 ",Dickkopf-related protein 3 promotes pathogenic stromal remodeling in benign prostatic hyperplasia and prostate cancer.,The Prostate. Supplement,WILEY-BLACKWELL,2013,OA,
10.1021/ic401573d,Hybrid Open Access," € 1,969.01 ","Dicopper(II) and Dizinc(II) Complexes with Nonsymmetric Dinucleating Ligands Based on Indolo[3,2-c]quinolines: Synthesis, Structure, Cytotoxicity, and Intracellular Distribution.",Inorganic Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1163/15685365-12341420,Hybrid Open Access," € 2,420.00 ",Die Perikope von der Hochzeit zu Kana ( Joh 2:1-11) im Kontext der Spätantike . 2013.,Novum Testamentum,BRILL,2013,OA,
10.1021/jp4061957,Hybrid Open Access," € 1,969.01 ","Dielectric Function of Undoped and Doped Poly[2-methoxy-5-(3´,7´-dimethyloctyloxy)-1,4-phenylene-vinylene] by Ellipsometry in a Wide Spectral Range.",Journal of Physical Chemistry C,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1007/s11368-012-0550-9,Hybrid Open Access," € 2,000.00 ",Differences in sorption behavior of the herbicide 4-chloro-2-methylphenoxyacetic acid on artificial soils as a function of soil pre-aging.,Journal of Soils and Sediments,SPRINGER VERLAG,2012,OA,
10.1016/j.paid.2012.04.014,Hybrid Open Access," € 1,625.42 ",Differential effects of cognitive inhibition and intelligence on creativity.,Personality and Individual Differences,ELSEVIER,2012,OA,
10.1158/0008-5472.CAN-11-3654,Other publication costs," € 1,433.11 ",Differential Effects of Polymorphic Alleles of FGF Receptor 4 on Colon Cancer Growth and Metastasis.,Cancer Research,AMERICAN ASSOCIATION FOR CANCER RESEARCH,2012,,
10.1002/jcc.23328,Hybrid Open Access," € 2,400.00 ",Differential geometric analysis of alterations in MH a-helices.,Journal of Computational Chemistry,WILEY-BLACKWELL,2013,OA,
10.1371/journal.pone.0068168,Gold Open Access," € 1,068.13 ",Difficulties in Generating Specific Antibodies for Immunohistochemical Detection of Nitrosylated Tubulins.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1186/1472-6750-13-53,Gold Open Access," € 1,652.40 ",Diffusion of small molecules into medaka embryos improved by electroporation.,BMC Biotechnology,BIOMED CENTRAL,2013,OA,
10.1002/cplu.201300014,Hybrid Open Access," € 2,400.00 ","Dioximate- and Bis(salicylaldiminate)-Bridged Titanium and Zirconium Alkoxides: Structure Elucidation by Mass Spectrometry. , Volume 78, Issue 4, pages",CHEMPLUSCHEM,WILEY-BLACKWELL,2013,OA,
10.1016/j.bbamcr.2013.02.012,Hybrid Open Access," € 2,676.26 ",Direct association of the reticulon protein RTN1A with the ryanodine receptor 2 in neurons.,Biochimica et Biophysica Acta - Molecular Cell Research,ELSEVIER,2013,OA,
10.1021/nl304723c,Hybrid Open Access," € 2,077.12 ",Direct Band Gap Wurtzite Gallium Phosphide Nanowires.,Nano Letters,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.jmb.2012.03.015,Hybrid Open Access," € 1,986.62 ",Direct Determination of Actin Polarity in the Cell.,Journal of Molecular Biology,ELSEVIER,2012,OA,
10.1073/pnas.1300170110,Other publication costs, € 479.00 ,Direct imaging of topological edge states in cold-atom systems.,Proceedings of the National Academy of Sciences of the United States of America,NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2013,,
10.1016/j.jenvrad.2012.03.017,Hybrid Open Access," € 1,986.62 ",Direct uranium isotope ratio analysis of single micrometer-sized glass particles.,Journal of Environmental Radioactivity,ELSEVIER,2012,OA,
10.1016/j.lmot.2013.04.005,Hybrid Open Access," € 2,676.26 ",Discrimination of familiar human faces in dogs (Canis familiaris).,Learning and Motivation,ELSEVIER,2013,OA,
10.1093/brain/awt110,Hybrid Open Access," € 3,060.00 ",Disease-specific molecular events in cortical multiple sclerosis lesions.,"Brain, a journal of neurology",OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1016/j.cma.2013.02.015,Hybrid Open Access," € 2,676.26 ","Distance fields on unstructured grids: Stable interpolation, assumed gradients, collision detection and gap function.",Computer Methods in Applied Mechanics and Engineering,ELSEVIER,2013,OA,
10.1007/s10750-013-1616-4,Hybrid Open Access," € 2,618.00 ",Divergent reaction of fish metrics to human pressures in fish assemblage types in Europe.,Hydrobiologia,SPRINGER VERLAG,2013,OA,
10.1371/journal.pone.0055367,Gold Open Access," € 1,030.87 ",Divergent Receiver Responses to Components of Multimodal Signals in Two Foot-Flagging Frog Species.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1186/1742-9994-10-61,Gold Open Access," € 1,635.00 ",Diversity of acoustic tracheal system and its role for directional hearing in crickets.,Frontiers in Zoology,BIOMED CENTRAL,2013,OA,
10.1007/s10482-013-9975-4,Hybrid Open Access," € 2,618.00 ",DNA barcoding survey of Trichoderma diversity in soil and litter of the Colombian lowland Amazonian rainforest reveals Trichoderma strigosellum sp. nov. and other species.,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",SPRINGER VERLAG,2013,OA,
10.1093/nar/gkt861,Gold Open Access," € 2,556.00 ",DNA intermediates of meiotic recombination in synchronous S. pombe at optimal temperature.,Nucleic Acids Research,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.3389/fpsyg.2012.00558,Gold Open Access, € 480.00 ,Do owners have a Clever Hans effect on dogs? Results of a pointing study.,FRONTIERS IN PSYCHOLOGY,FRONTIERS RESEARCH FOUNDATION,2012,OA,
23733285,Gold Open Access, € 500.00 ,Does altitude moderate the impact of lithium on suicide? A spatial analysis of Austria.,Geospatial health,International Society of Geospatial Health - GnosisGIS,2013,OA,Open Access but not listed in DOAJ
10.1371/journal.pone.0067049,Gold Open Access," € 1,066.93 ",Does the Hearing Sensitivity in Thorny Catfishes Depend on Swim Bladder Morphology?,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.jbiotec.2013.10.022,Hybrid Open Access," € 1,635.88 ",Do-it-yourself histidine-tagged bovine enterokinase: A handy member of the protein engineer's toolbox.,Journal of Biotechnology,ELSEVIER,2013,OA,
10.1073/pnas.1301087110,Hybrid Open Access, € 782.68 ,Domain cooperativity in the beta1a subunit is essential for dihydropyridine receptor voltage sensing in skeletal muscle.,Proceedings of the National Academy of Sciences of the United States of America,NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2013,OA,
10.1073/pnas.1301087110,Other publication costs," € 1,154.45 ",Domain cooperativity in the beta1a subunit is essential for dihydropyridine receptor voltage sensing in skeletal muscle.,Proceedings of the National Academy of Sciences of the United States of America,NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2013,OA,
10.1007/s00265-012-1412-6,Hybrid Open Access," € 2,640.00 ",Don’t get the blues: conspicuous nuptial colouration of male moor frogs (Rana arvalis) supports visual mate recognition during scramble competition in large breeding aggregations.,Behavioral Ecology and Sociobiology,SPRINGER VERLAG,2012,OA,
10.1111/tri.12006,Other publication costs, € 653.32 ,Donor specific transplant tolerance is dependent on complement receptors.,Transplant International,WILEY-BLACKWELL,2013,,
10.1063/1.4805040,Hybrid Open Access," € 1,720.07 ",Dopant migration effects in terahertz quantum cascade lasers.,Applied Physics Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,OA,
10.1063/1.4805040,Other publication costs, € 285.37 ,Dopant migration effects in terahertz quantum cascade lasers.,Applied Physics Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,OA,
10.3389/fpsyt.2013.00100,Gold Open Access," € 1,152.00 ",Dyadic social interaction as an alternative reward to cocaine.,Frontiers in Psychiatry,FRONTIERS RESEARCH FOUNDATION,2013,OA,
10.1104/pp.113.219857,Other publication costs," € 1,209.16 ",Dynamic Adaption of Metabolic Pathways during Germination and Growth of Lily Pollen Tubes after Inhibition of the Electron Transport Chain.,Plant Physiology,AMERICAN SOCIETY OF PLANT BIOLOGISTS,2013,OA,
10.1186/1471-2229-13-104,Gold Open Access," € 1,896.00 ",Dynamic compartment specific changes in glutathione and ascorbate levels in Arabidopsis plants exposed to different light intensities.,BMC Plant Biology,BIOMED CENTRAL,2013,OA,
10.1371/journal.pone.0053005,Gold Open Access," € 1,039.42 ",Dynamic Regulation of Phenylalanine Hydroxylase by Simulated Redox Manipulation.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2012,OA,
10.1080/10548408.2013.827546,Hybrid Open Access," € 2,283.79 ","Dynamic, Interactive Survey Questions Can Increase Survey Data Quality.",Journal of Travel and Tourism Marketing,TAYLOR & FRANCIS,2013,OA,
10.1103/PhysRevLett.110.195301,Other publication costs, € 553.38 ,Dynamical Critical Phenomena in Driven-Dissipative Systems.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,,
10.1371/journal.pone.0076250,Gold Open Access," € 1,026.86 ",Dynamics of Collective Decision Making of Honeybees in Complex Temperature Fields.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1021/jp4037099,Hybrid Open Access," € 2,050.96 ",Dynamics of Self-assembly of Model Viral Capsids in the Presence of a Fluctuating Membrane.,Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.asd.2012.02.009,Hybrid Open Access," € 3,386.29 ",Early development in the velvet worm Euperipatoides kanangrensis Reid 1996 (Onychophora: Peripatopsidae).,Arthropod Structure and Development,ELSEVIER,2012,OA,
10.1016/j.geomorph.2012.05.006,Hybrid Open Access," € 2,709.03 ","Early Holocene (8.6 ka) rock avalanche deposits, Obernberg valley (Eastern Alps): Landform interpretation and kinematics of rapid mass movement.",Geomorphology,ELSEVIER,2012,OA,
10.1002/mbo3.125,Gold Open Access," € 1,425.60 ",Ecomorphological variability of Arthrospira fusiformis (Cyanoprokaryota) in African soda lakes.,MICROBIOLOGYOPEN,WILEY-BLACKWELL,2013,OA,
10.1016/j.neubiorev.2012.12.002,Hybrid Open Access," € 2,709.15 ",EEG alpha power and creative ideation.,Neuroscience and Biobehavioral Reviews,ELSEVIER,2012,OA,
10.1021/mz300493d,Hybrid Open Access," € 2,058.62 ",Effect of Bending Rigidity on the Knotting of a Polymer under Tension.,MACRO LETTERS,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.5194/bgd-10-14333-2013,Gold Open Access," € 3,688.80 ",Effect of hypoxia and anoxia on invertebrate behaviour: ecological perspectives from species to community level.,Biogeosciences Discussions,EUROPEAN GEOSCIENCES UNION,2013,OA,
10.1021/jp4027755,Hybrid Open Access," € 2,050.96 ",Effect of Molecule–Surface Reaction Mechanism on the Electronic Characteristics and Photovoltaic Performance of Molecularly Modified Si.,Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.msea.2013.06.033,Hybrid Open Access," € 2,230.21 ",Effect of solution heat treatment on the internal architecture and compressive strength of an AlMg4.7Si8 alloy.,Materials Science and Engineering,ELSEVIER,2013,OA,
10.1038/ismej.2013.56,Hybrid Open Access," € 3,240.00 ","Effects of environmental variation and spatial distance on Bacteria, Archaea and viruses in sub-polar and arctic waters.",ISME Journal,NATURE PUBLISHING GROUP,2013,OA,
