PMID/PMCID,Publisher,Journal title,Article title,COST (£)
20843801,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Acceptor Substrate Discrimination in Phosphatidyl-myo-inositol
Mannoside Synthesis","£1,250.00"
,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Nitroarachidonic acid, a novel peroxidase inhibitor of prostaglandin endoperoxide H synthases 1 and 2.","£1,270.68"
PMC2906319,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Membrane Trafficking of Large Conductance Calcium-activated Potassium Channels Is Regulated by Alternative Splicing of a Transplantable, Acidic Trafficking Motif in the RCK1-RCK2 Linker",£953.29
,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Selective genomic targeting by FRA-2/FOSL2 transcription factor,"£1,261.19"
PMC2992247,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Vesicle fusion probability is determined by the specific interactions of munc18.,"£1,248.76"
PMID: 20870717 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Identification of a Lysosomal Pathway Regulating Degredation of the Bone Morphogenetic Protein Receptor Type II,"£1,245.19"
PMC  3003375,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Functional complementation and genetic deletion studies of KirBac channels,"£1,283.04"
PMCID: PMC3059043,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Structural basis of molecular recognition the Leishmania small hydrophillic endoplasmic reticulum-associated protein, SHERP, at membrane surfaces","£1,229.64"
,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Plasticity of human protein disulfide isomerase conformation,"£1,507.31"
PMID: 21212280,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Antitumor quinol PMX464 is a cytocidl andi-trypanosomal inhibitor targeting trypanothione metabolism,£944.17
PMC3059031,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Beta-subunits promote the expression of Ca(V)2.2 channels by reducing their proteasomal degradation.,"£1,238.20"
PMC2937989,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Central Region of Talin Has a Unique Fold That Binds Vinculin and Actin
","£1,303.77"
PMID: 21239486,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Dissecting the metabolic roles of pteridine reductase 1 in trypanosoma brucei and leishmania major,£946.67
PMID: 20966074,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Functional dissection of adenylate cyclase R, an inducer of s[pore encapsulation",£936.16
PMC2998086,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Gyrase B inhibitor impairs HIV-1 replication by targeting Hsp90 and the capsid protein,"£1,284.11"
21531711,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Molecular recognition of chymotrypsin by the serine protease inhibitor ecotin from Yersinia pestis.,"£1,093.29"
PMC3000974,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Neurodegenerative mutation in cytoplasmic dynein alters its organization and dynein-dynactin and dynein-kinesin interactions.,£973.33
PMC3059038,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Neuronal precursor cell-expressed developmentally down-regulated 4-1 (NEDD4-1) controls the sorting of newly-synthesized Cav1.2 calcium channels,"£1,284.11"
2915671,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Pulsatile and sustained gonadotropin-releasing hormone (GnRH) receptor signaling: does the ERK signaling pathway decode GnRH pulse frequency?,"£1,005.83"
PMID: 21454663,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Rings of charge within the extracellular vestibule influence ion permeation of the 5-HT3A receptor,"£1,241.58"
3039378,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The oligomeric state and arrangement of the active bacterial translocon,"£1,307.50"
2978626,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,THE STREPTOCOCCAL BINDING SITE IN THE GELATIN,£949.39
3057830,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,MECHANISTIC INSIGHT INTO HUMAN ETHER,£941.15
3077598,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,SPECIFIC TWO-PORE DOMAIN POTASSIUM,"£1,225.25"
21454690,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,AS160 Phosphotyrosine-binding Domain Constructs Inhibit Insulin-stimulated GLUT4 Vesicle Fusion with the Plasma Membrane.,£500.15
PMC3190727,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Cystene Scanning mutogenesis  (residues EZ2 - 996) of the human P2X1 Receptor for ATP; Mapping against binding and channel gating,"£1,506.19"
"PMC2889095
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Differential G-protein-coupled Receptor Phosphorylation Provides Evidence for a Signaling Bar Code
","£1,524.06"
PMC3162419,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Identification of human p2xi receptor- intermiting proteins reveals a role of the cytoskeleton in receptor regulation,"£1,508.57"
"PMC2963349
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Lipid raft association and Cholesterol Sensitivity of P2X1-4 Receptors for ATB,"£1,577.24"
PMC3089569,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Structure of the Tandem MA-3 Region of the PDCD4 and Characterisation of its Interactions with EIF4A and EIF4G: Molecular Mechanisms of a Tumour Suppressor,"£1,503.50"
"PMCID: PMC3039383
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Class II phosphoinositide 3-Kinase Regulates Exocytosis of Insulin Granules in Pancreatic beta Cells,"£1,438.68"
PMCID: PMC3138249,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Glucose Regulates Free Cytosolic Zn2+ Concentration, Slc39 (ZiP), and Metallothionein Gene Expression in Primary Pancreatic Islet Cells","£1,494.86"
"PMCID: PMC3075709
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Nucleo-cytosolic Shuttling of Fox01 Directly Regulates Mouse Ins2 but not Ins1 Gene Expression in Pancreatic Beta Cells (MIN6),"£1,438.85"
PMC2945533,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,State-dependent Inhibition of TRPM2 Channel by Acidic pH,"£1,374.11"
PMC3037619,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,TRPC5 Channel Sensitivities to Antioxidants and Hydroxylated Stilbenes,"£1,714.88"
PMCID: PMC3099714,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry ,A single amino acid residue constitutes the third dimerization domain essential for the assembly and function of the tetrameric polycystin-2 (TRPP2) channel ,"£1,488.00"
PMC3173086,American Society for Biochemistry and Molecular Biology,Journal of Molecular Biology,Compensating Stereochemical Changes Allow Murein Tripeptide to be accomodated in a Conventional Peptide-binding Protein,"£2,095.57"
PMC3057836,American Society for Biochemistry and Molecular Biology,Journal of Molecular Biology,"The Structure and Interactions of SpollSA and SpollSB, a Toxin-Antitoxin System in Bacillus subtilis","£2,510.29"
PMID:21505101,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Protemics,Quantitative proteomic analysis of chromatin reveals that Ctf18 acts in the DNA replication checkpoint,"£2,532.11"
21646642,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Protemics,Unraveling lacococcal phages baseplate assembly by mass spectrometry,"£1,226.54"
PMC3098581,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,A novel strategy to isolate ubiquitin conjugates reveals wide role for ubiquitination during neural development,"£1,212.56"
PMC3108830,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,In vivo analysis of proteomes and interactomes using parallel affinity capture (iPAC) coupled to mass spectrometry,"£1,220.18"
PMCID: PMC3108842,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,Proteomic evaluation and validation of cathepsin D regulated proteins in macrophages exposed to Streptococcus pneumoniae,"£1,363.32"
PMCID: PMC3122453,American Society for Microbiology,Antimicrobial agents and chemotherapy,A randomised pharmacokinetic and pharmacodynamic comparison of fluoroquinolones for TB meningitis,"£1,462.08"
PMC3101471,American Society for Microbiology,Antimicrobial agents and chemotherapy,Sequential population pharmacokinetic modeling of lopinavir and ritonavir in healthy volunteers and assessment of different dosing strategies.,"£1,496.88"
3008206,American Society for Microbiology,Clinical and Vaccine Immunology,"Detection of Humoral Response Using a Recombinant Heat Shock Protein 70, DnaK, of Mycoplasma haemofelis in Experimentally and Naturally Hemoplasma-Infected Cats","£1,522.25"
3008192,American Society for Microbiology,Clinical and Vaccine Immunology,"Identification, Characterization, and Application of a Recombinant Antigen for the Serological Investigation of Feline Hemotropic Mycoplasma Infections ","£1,473.54"
PMID: 21531872,American Society for Microbiology,Eukaryotic Cell,"Characterization, Localization, Essentiality and High-Resolution Crystal structure of glucosamine 6-Phosphate N-Acetyltransferase from Trypanosoma brucei","£1,223.21"
PMC3067472,American Society for Microbiology,Eukaryotic Cell,Fig 1 Facilitates Calcium Influx and Localizes to Membranes Destined to Undergo Fusion during Mating in Candida albicans,"£1,930.49"
PMC3147413,American Society for Microbiology,Eukaryotic Cell,Ubiquitylation and developmental regulation of invariant surface protein expression in trypanosomes,"£1,503.76"
PMC3088140,American Society for Microbiology,Infection & Immunity,Recognition and Blocking of Innate Immunity Cells by Candida albicans Chitin,"£1,220.29"
20937763,American Society for Microbiology,Infection and Immunity,Conjunctival Transcriptome in Scarring Trachoma,£984.59
20823212,American Society for Microbiology,Infection and Immunity,Human conjunctival transcriptome analysis reveals the prominence of innate defense in chlamydia trachomatis infection.,"£1,551.61"
PMC 2981198,American Society for Microbiology,JOURNAL OF BACTERIOLOGY,Independent segregation of the two arms of the Escherichia coli ori Region Requires neither RNA Synthesis nor MreB Dynamics,"£1,304.00"
20962138,American Society for Microbiology,Journal of Clinical Microbiology,Molecular  detection of mixed infections of Mycobacterium tuberculosis …,"£1,621.60"
20962076,American Society for Microbiology,Journal of Virology,Neutralizing antibody resistant hepatitis C virus cell-to-cell transmission.,"£1,250.00"
21123379,American Society for Microbiology,Journal of Virology,The Epstein-Barr virus-encoded BILF1 protein modulates immune recognition of endogenously processed antigen by targeting MHC class I molecules trafficking on both the exocytic and endocytic pathways,"£1,250.00"
21357738,American Society for Microbiology,Molecular and Cellular Biology,Elongator Protein 3b Negatively Regulates Ribosomal DNA Transcription in African Trypanosomes,"£2,565.85"
21135120,American Society for Microbiology,Molecular and Cellular Biology,"Poly(A) Signals Located near the End of Genes Are Silenced by a
General Mechanism That Prevents Premature  End Processing","£1,250.00"
PMC3126341,American Society for Microbiology,Molecular and Cellular Biology,Polymerase Epsilon is required to maintain replicative senescene,"£1,475.21"
PMID: 20696840,American Society for Microbiology,Molecular and Cellular Biology,Mechanism of hypoxia-induced NF-kappaB,"£1,272.85"
PMCID: PMC3014042,American Society for Nephrology,Journal of the American Society of Nephrology,The development of atypical haemolytic uraemic syndrome in mice is dependent on complement C5,"£2,191.29"
PMC 2844307,American Society for Nephrology,Journal of the American Society of Nephrology,Immune Phenotype Predicts Risk for Posttransplantation Squamous Cell Carcinoma,"£1,998.59"
"PMCID: PMC2689903
",American Society for Nephrology,Journal of the American Society of Nephrology,P2X7-deficiency attenuates renal injury in experimental glomerulonephritis,"£1,899.66"
,American Society of Hematology,Blood,SUMO conjugation of STAT1 protects cells from hyper-responsiveness to interferon-g,"£1,263.37"
PMC2951698,American Society of Hematology,Blood,A congenital activating mutant of WASp causes altered plasma membrane topography and adhesion under flow in lymphocytes,"£1,298.62"
PMID:21555741 In Progress,American Society of Hematology,Blood,"Activation of Hif-1alpha delays inflammation resolution by reducing neutrophil 
apoptosis and reverse migration in a zebrafish inflammation model","£1,232.97"
,American Society of Hematology,Blood,"Blood/2010/278887 Blood 2011 Feb 10, 117(6):2033-43 Esterifield eicosanoids are acutely generated by 5-lipoxygenase in primary human neutrophils and in human and murine","£1,263.86"
PMID:21690559,American Society of Hematology,Blood,Cytoskeletal remodeling mediated by WASp in dendritic cells is necessary for normal immune synapse formation and T cell priming,"£1,267.11"
PMCID: PMC3062313,American Society of Hematology,Blood,The host genomic environment of the provirus,"£1,497.19"
PMID:20926771,American Society of Hematology,Blood,"X-linked Lymphoproliferative Disease due to SAP/SH2D1A deficiency: A Multicenter Study on the manifestations, management and outcome of the disease","£1,250.23"
PMC3008672,American Society of Nutrition,"American Journal of Clinical 
Nutrition","Dietary fish and meat intake and dementia in Latin America, China and India - A 10/66 Dementia Research Group ","£1,847.16"
3095501,American Society of Nutrition,American Journal of Clinical Nutrition,"Associations of gestational weight gain with maternal body mass index, waist circumference, and blood pressure measured 16 y after pregnancy: the Avon Longitudinal Study of Parents and Children (ALSPAC)","£1,544.00"
2937586,American Society of Nutrition,American Journal of Clinical Nutrition,Relation of maternal prepregnancy body mass index with offspring bone mass in childhood: is there evidence for an intrauterine effect?,"£2,348.79"
PMCID: PMC3005522,American Society of Tropical Medicine and Hygiene,American Journal of Tropical Medicine and Hygiene,Metabonomic investigation of single and multiple strain Trypanosoma brucei brucei infections,"£1,864.14"
PMC3102547,Aspet,Molecular Pharmacology,Rapid & Constrasting Effects of Rosiglitazone on TRPM3 and TRPC5 Channels,£498.11
20702831,Association for Research in Vision and Ophthalmology,Investigative Ophthalmology and Visual Science,Docosahexaenoic acid improves the nitroso-redox balance and reduces VEGF-medicated angiogenic signaling in microvascular endothelial cells,£776.64
21693601,Association for Research in Vision and Ophthalmology,Investigative Ophthalmology and Visual Science,What is causing active trachoma? The role of . . .,£313.85
20375326,Association for Research in Vision and Ophthalmology,IOVS,"Conjunctival gene expression profiling using pathway focused arrays reveals increased
matrix metalloproteinase-7 (matrilysin) transcription in trachomatous trichiasis",£610.93
,Bentham Science Publishers Ltd,CNS Neurol Disord Drug  Targets,"Prolyl Oligopeptidase, Inositol Phosphate Signalling and Lithium Sensitivity","£1,816.58"
21291387,Bentham Science Publishers Ltd,Current Drug Target,"Properties and therapeutic potential of Transient Receptor Potential channels with putative roles in adversity: focus on TRPC5, TRPM2 and TRPA1","£1,832.13"
21892376,Bentham Science Publishers Ltd,Open Aids Journal,Normal range of CD4 cell counts and temporal changes in two HIV-negative Malawian populations,£498.16
PMC3138460,BioMed Cental,BMC Research Notes,Rab23 is a flagellar protein in trypanosome brucei,£606.90
21059244,BioMed Central,Arthritis Research & Therapy,Eicosapentaenoic acid and docosahexaenoic acid reduce interleukin-1ß-mediated cartilage degradation.,"£1,215.00"
PMC 3004885,BioMed Central,BMC Bioinformaticd,BIGSdb:Scalable analysis of bacterialgenome variation at the population level,"£1,380.63"
,BioMed Central,BMC Bioinformatics,Significance testing in ridge regression for genetic data,"£1,048.75"
PMID: 21880129,Biomed Central,BMC Biology,A novel reporter of notch signalling indicates regyulated and random notch activation during vertebrate neurogene,"£1,674.00"
PMCID: PMC2988716,BioMed Central,BMC Biology,The nucleotide addition cycle of RNA polymerase is controlled by two molecular hinges in the Bridge Helix domain. ,"£1,392.08"
PMC 2866538,BioMed Central,BMC DEVELOPMENTAL BIOLOGY,TARGETS DOWNSTREAM OF CDK8 IN DICTYOSTELIUM DEVELOPMENT,"£1,140.00"
19849843,Biomed Central,BMC Evolutionary Biology,Hsp-90 and the biology of nematodes,"£1,025.00"
PMC2998533,BioMed Central,BMC Evolutionary Biology,Successfully resisting a pathogen is rarely costly in Daphnia magna,"£1,255.78"
20082698,Biomed Central,BMC Genomics,Evolution and diversity of secretome genes in the apicomplexan parasite Theileria annulata,"£1,025.00"
PMCID: PMC3020904,BioMed Central,BMC Genomics,Sequence-structure-function relations of the mosquito leucine-rich repeat immune proteins,"£1,182.34"
1034099977521016,BioMed Central,BMC Infectious Diseases,Impact of early life exposures to geohelminth infections on the development of vaccine immunity allergic sensitization and allergic inflammatory diseases in children living in tropical Ecudaor,"£1,258.50"
PMID: 21812952,Biomed Central,BMC Informatics,NoD: a Nucleolar localization sequence detector for eukaryotaic and viral proteins,"£1,470.00"
PMC 3025873,BioMed Central,BMC Medicine,Risk of venous thromboembolism in people admitted in hospital with selected immune-mediated diseases: record-linkage study,"£1,627.38"
