PMID/PMCID,Publisher,Journal title,Article title,COST (£)
PMC3285366,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Characterization of the spindle checkpoint kinase Mps1 reveals a domain with functional and structural similarities to the tetratricopeptide repeat motifs of the Bub1  and BubR1 checkpoint kinases,"£1,551.09"
PMC3308817,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Constitutive clathrin-mediated endocytosis of CTLA-4 persists during T cell activation,"£1,530.51"
PMC3340283,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Distinct Acyl Protein Transferases and Thioesterases Control Surface Expression of Calcium-activated Potassium Channels,£971.84
PMC3370257,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Expression in Drosophila of tandem abeta peptides provides insights into the link between aggregation and neurotoxicity,"£1,235.64"
PMC3463321 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Heat shock protein 90 inhibitors reduce trafficking of ATP-gated P2X1 receptors and human platelet responsiveness.
","£1,497.46"
PMC3391081,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Homeostatic synaptic scaling is regulated by protein SUMOylation,"£1,496.01"
PMC3186430,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Human frameshift mutations affecting the carboxyl terminus of perilipin increase lipolysis by failing to sequester the adipose triglyceride lipase (ATGL) coactivator, ab-hydrolase containing 5 (ABHD5)","£1,276.25"
PMC3058972,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Ion Channel Regulation by Protein Palmitoylation,£930.26
PMC3281728,American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,Loading-related regulation of transcription factor EGR2/Krox-20 in bone cells is ERK1/2 protein-mediated and prostaglandin. Wnt signalling ....,"£2,754.15"
PMC3406685,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Mapping of potent and specific binding motifs, GLOGEN and GVOGEA, for integrin alpha1Beta1 using collagen toolkits II and III","£1,190.08"
PMC3308756,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mapping structural determinants within third intracellular loop that direct signalling specificity of type 1 Corticotropin-releasing hormone receptor,"£2,284.66"
PMC2911306,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Multiple Palmitoyltransferases Are Required for Palmitoylation-dependent Regulation of Large Conductance Calcium- and Voltage-activated Potassium Channels,£953.33
PMC3220594,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Neuronal death induced by nanomolar amyloid beta is mediated by primary phagocytosis of neurons by microglia,"£1,499.63"
PMC2963414,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Palmitoylation of the S0-S1 linker regulates cell surface expression of voltage- and calcium-activated potassium (BK) channels.,£935.70
PMC3391102,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Pathogen sensing by nucleotide-binding oligomerization domaincontaining protein 2 (NOD2) is mediated by direct binding to muramyl dipeptide and ATP,"£1,536.10"
PMC3234718,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Procollagen C-proteinase enhancer stimulates procollagen processing by binding to the C-propeptide region only,"£1,546.39"
PMC3285343,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Role of a novel rat-specific Fc receptor in macrophage activation associated with crescentic glomerulonephritis,"£1,307.19"
PMC3322975,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Structural Requirements of Membrane Phospholipids for M-type Potassium Channel Activation and Binding,"£1,338.06"
"PMC3256870
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"The Clostridium difficile cell wall protein CwpV undergoes enzyme-independent intramolecular autoproteolysis
","£1,286.92"
PMC3390679,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The Dormancy Regulator DosR Controls Ribosome Stability in Hypoxic Mycobacteria,"£1,299.38"
PMC3247974,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The Intracellular Amino Terminus Plays a Dominant Role in Desensitization of ATP-gated P2X Receptor Ion Channels,"£1,556.40"
PMC3281675,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The near-planar solution structures of mannose-binding lectin oligomers provide insight on the activation of the lectin pathway of complement,"£1,353.91"
PMC3318706,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The Role of the N-Domain in the ATPase Activity of the Mammalian AAA ATPase p97/VCP,"£1,251.96"
PMC3411052,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"The second type VI secretion system of Pseudomonas aeruginosa strain PAO1 is regulated by quorum sensing and Fur and modulates internalization in epithelial cells.
","£1,530.12"
PMC3199452,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Two-pore Channels Form Homo- and Heterodimers,"£1,314.33"
PMC3293585,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Ubiquitination of Human Leukocyte Antigen (HLA)-DM by Different Membrane-associated RING-CH (MARCH) Protein Family E3 Ligases Targets Different Endocytic Pathways,"£1,514.20"
PMC3464521,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Vermeer, L.S., Lan, Y., Abbate, V., Ruh, E., Bui, T.T., Wilkinson, L., Kanno, T., Jumagulova, E., Kozlowska, J., Patel, J., McIntyre, C.A., Yam, W.C., Siu, G., Atkinson, R.A., Lam, J.K.W., Bansal, S.S., Drake, A.F., Mitchell, G.H. & Mason, A.J. Conformational flexibility determines selectivity and antibacterial, antiplasmodial and anticancer potency of cationic a-helical peptides. J. Biol. Chem. doi: 10.1074/jbc.M112.359067","£1,138.97"
PMC3340178,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,20-Hydroxyeicosatetraenoic Acid (20-HETE) Is a Novel Activator of Transient Receptor Potential Vanilloid 1 (TRPV1) Channel,"£1,301.00"
PMC3256900,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,A single autoimmune T-cell receptor recognizes over a million different peptides.  Article number 9305,"£1,602.00"
PMC3339935,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Allele-specific Differences in Activity of a Novel Cannabinoid Receptor 1 (CNR1) Gene Intronic Enhancer in Hypothalamus, Dorsal Root Ganglia, and Hippocampus*","£1,670.76"
PMC3397896,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Annexin A1 Interaction with the FPR2/ALX Receptor: identification of distinct domains and downstream associated signalling,"£1,906.39"
PMC3220584,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Collagen VI, Conformation of A-domain Arrays and Microfibril Architecture","£1,898.17"
PMC3320993,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Constitutive expression of inter-_-inhibitor (I_I) family proteins and tumor necrosis factor-stimulated gene-6 (TSG-6) by human amniotic membrane epithelial and stromal cells supporting formation of the heavy chain-hyaluronan (HC-HA) complex,"£1,435.59"
PMC3234919,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Crystal structure of reduced and of oxidized peroxiredoxin IV reveals a stable oxidized decamer and a non disulfide-bonded intermediate in the catalytic cycle,"£1,574.02"
PMC3285362,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Different requirements for proteolytic processing of bone morphogenetic protein 5/6/7/8 ligands in Drosophila melanogaster,"£1,286.92"
PMC3438978,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mapping of the CD23 binding site on IgE and allosteric control of the IgE-FceRI interaction (PMID: 22815482),"£1,536.98"
PMC3234717,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,"£1,276.08"
PMC3436581,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Methionine oxidation perturbs the structural core of the prion protein and suggests a generic misfolding pathway,"£1,577.04"
PMC3340194,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Monocyte to macrophage differentiation: synthesis and secretion of novel extraceullar matrix components,"£1,435.59"
PMC3039341,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Proteomic characterization of plasma membrane-proximal T cell activation responses,"£1,254.17"
PMC3190818,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Quantitative mass spectrometry reveals dynamics of factor-inhibiting hypoxia-inducible factor-catalyzed hydroxylation.,"£1,549.20"
PMC3162421,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Structural and Functional studies on the N-terminal domain of the Shigella type 111 secretion protein MxiG,"£1,235.74"
PMC3045008,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,T cell receptor (TCR)-induced tyrosine phosphorylation dynamics identifies THEMIS as a new TCR signalosome component,"£1,237.56"
PMC3406680,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The C-Type Lectin Receptor CLECSF8 (CLEC4D) is Expressedc by Myeloid Cells and Triggers Cellular Activation through SYK Kinase,"£1,273.95"
PMC3234965,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The cystic fibrosis transmembrane conductance regulator (CFTR): three-dimensional structure and localization of a channel gate.,"£1,239.08"
PMC3060506,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The structure of the human RNase H2 complex defines key interaction interfaces relevant to enzyme function and human disease,"£1,551.68"
"PMC3243507
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,A human mutation within the per-ARNT-sim (PAS) domain-containing protein kinase (PASK) causes basal insulin hypersecretion,"£1,525.94"
PMC3285341,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Novel Cis-Regulatory Modules Control Expression of the Hairy and Enhancer of Split-1 Transcription Factor in Myoblasts,"£2,277.67"
PMC3463352,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"The Mitosis and Neurodevelopment proteins NDE1 and NDEL1 form dimers, tetramers and polymers with a folded-back structure in solution","£1,261.15"
PMC3365947,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,A conserved function for the H2A.Z C terminus,"£1,835.20"
PMC3761004,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Cytochrome b mutation Y268S conferring the at,"£2,111.53"
PMC2898319,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The integrator complex recognizes a new double mark on the RNA polymerase 11 carboxyl-terminal domain,"£1,301.56"
PMC3481325,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,T-Cell Receptor optimized peptide skewing of the T-cell repertoire can enhance antigen targeting,"£1,520.12"
PMC3285324,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"JBC M276071/9786 - ""RNA chaperone activity of the human  La protein is mediated by a variant RNA recognition motif"" ","£1,531.51"
PMC3370192,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Defining the contribution of AMP-activated protein kinase (AMPK) and protein kinase C (PKC) in regulation of glucose uptake by metformin in skeletal muscle cells,"£1,315.73"
PMC3463326,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Family with Sequence Similarity 60A (FAM60A) Protein Is a Cell Cycle-fluctuating Regulator of the SIN3-HDAC1 Histone Deacetylase Complex.,"£1,247.83"
PMC3234946,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Internalization of exogenous cystatin F supresses cysteine proteases and induces the accumulation of single-chain cathepsin L by multiple mechanisms,"£1,285.91"
PMC3460441,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Role of Binding and Nucleoside Diphosphate Kinase A in the Regulation of the Cystic Fibrosis Transmembrane Conductance Regulator by AMP-activated Protein Kinase,"£1,258.80"
PMC3316722,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,A quantitative spatial proteomics analysis of proteome turnover in human cells,"£1,297.72"
PMC3316733,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,Characterization of MRFAP1 Turnover and Interactions Downstream of the NEDD8 Pathway,"£1,284.49"
PMC3316725,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,"Systematic analysis of protein pools, isoforms, and modifications affecting turnover and subcellular localization","£1,286.99"
PMC3338442,American Society for Cell Biology,Molecular Biology of the Cell,A VE-cadherin-PAR3-a-catenin complex reculates the Golgi localization and activity of cytrosolic phosppholipase A2a in enothelial cells,"£1,336.34"
PMC3392071,American Society for Hematology,Blood,Development of myeloproliferative disease in 12/15-lipoxygenase deficiency,"£1,558.42"
PMC3209043,American Society for Microbiology,American Society for Microbiology,Morphological events during the Cell Cycle of Leishmania major,"£1,798.00"
PMC3186966,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,"Genomewide Scan Reveals Amplification of mdr1 as a Common Denominator of Resistance to Mefloquine, Lumefantrine, and Artemisinin in Plasmodium chabaudi Malaria Parasites","£1,554.41"
PMC3346357,American Society for Microbiology,Applied and environmental Biology,Evidence of Host-Associated Populations of Cryptosporidium parvum in Italy,"£2,050.00"
PMC3374576,American Society for Microbiology,Blood,High-resolution genome-wide mapping of HIF-binding sites by ChIP-seq.,"£1,720.65"
PMC3482858,American Society for Microbiology,Blood,HTLV-1-infected T cells contain a single integrated provirus in natural infection,"£1,259.12"
 PMC3217402,American Society for Microbiology,Blood,Over-activation of plasmacytoid dendritic cell inhibits anti-viral T-cell responses: a model for HIV immunopathogenesis.,"£1,239.08"
PMC3375146,American Society for Microbiology,Blood,Regulation of murine normal and stress-induced erythropoiesis by Desert Hedgehog,"£1,286.75"
PMID: 21911834,American Society for Microbiology,Blood,Sex differences in resident immune cell phenotype underlie more efficient acute inflammatory responses in female mice,"£1,317.61"
PMID:23002116,American Society for Microbiology,Blood Journal,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel,"£1,490.77"
PMC3272899,American Society for Microbiology,Eukaryotic Cell,Posttranslational Modifications of Proteins in the Pathobiology of Medically Relevant Fungi,"£1,303.11"
PMC3255692,American Society for Microbiology,Infection and Immunity,Innate immune responses and modified extra-cellular matrix regulation characterize bacterial infection and cellular. . .,"£1,302.59"
PMC3418737,American Society for Microbiology,Infection and Immunity,The role of RelA and SpoT in Burkholderia pseudomallei virulence and immunity,"£1,279.18"
PMC3264188,American Society for Microbiology,Journal of Clinical Microbiology,Genotypic and Phenotypic Characterization of Carriage and Invasive Disease Isolates of Neisseria meningitidis in Finland,"£1,536.83"
PMC3405637,American Society for Microbiology,Journal of Clinical Microbiology,Optimizing Outpatient Serial Sputum Colony Counting for Studies of Tuberculosis Treatment in Resource-Poor Settings,"£1,530.00"
PMC3302505,American Society for Microbiology,Journal of Virology,Paramyxovirus V proteins interact with the RNA Helicase LGP2 to inhibit RIG-I-dependent interferon induction,"£1,895.00"
PMC3457281,American Society for Microbiology,Journal of Virology,Hepatitis C virus induced autophagy is independent of the unfolded protein response,"£1,542.42"
PMC3486310,American Society for Microbiology,Journal of Virology,High-Resolution functional profiling of the norovirus genome.,"£1,259.12"
PMC3486512,American Society for Microbiology,Journal of Virology,Identification of RNA-Protein Interaction Networks Involved in the Norovirus Life Cycle,"£1,259.12"
PMC3421754,American Society for Microbiology,Journal of Virology,Influence of herpes simplex virus 1 latency-associated transcripts on the establishment and maintenance of latency in the ROSA26R reporter mouse model,"£1,543.31"
PMC3312214,American Society for Microbiology,mBio,Death is Associated with Complement C3 Depletion in Cererospinal Fluid of Patients with Pneumococcal Meningitis,"£2,154.63"
PMC3445967,American Society for Microbiology,mBio,Repression by Cyclic AMP Receptor Protein at a Distance,£733.12
