PMID,PMCID,DOI,Publisher,Owned by/Affiliated to/Journal of,ISSN,Journal Impact Factor,Journal Title,Hybrid or Pure OA?,Article title,Citations Google Scholar,Altmetric score,CC licence type,Copyright Owner,Is the article freely available?,Cost,Contributor,Notes,ROMEO,PMC,DOIURL,XML Metadata,OpenArticleGauge
,PMC3657127,10.1002/eji.201242575,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Avidity of influenza-specific memory CD8+ T cell populations decays over time,,,,,,"£2,269.00",,,ROMEO,PMC,DOI,,OAG
,PMC3615169,10.1002/eji.201242794,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,"ICOS controls Foxp3+ regulatory T cell expansion, maintenance, and IL-10 production during helminth infection",,,,,,"£1,820.09",,,ROMEO,PMC,DOI,,OAG
,PMC3615172,10.1002/eji.201242914,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Dendritic cell modification as a route to inhibiting corneal graft rejection by the indirect pathway of allorecognition,,,,,,"£1,635.00",,,ROMEO,PMC,DOI,,OAG
,PMC3816330,10.1002/eji.201242983,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Salmonella polarises peptide-MHC-II presentation towards an unconventional Type B CD4+ T-cell response,,,,,,"£2,320.19",,,ROMEO,PMC,DOI,,OAG
,PMC3734624,10.1002/eji.201243008,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,AMPK_1: A glucose sensor that controls CD8 T-cell memory.,,,,,,"£2,020.25",,,ROMEO,PMC,DOI,,OAG
,PMC3655539,10.1002/eji.201243043,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Ubiquitination of HLA-DO by MARCH family E3 ligases,,,,,,"£2,377.33",,,ROMEO,PMC,DOI,,OAG
23881859,none,10.1002/eji.201343630,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Long-lived Plasmodium falciparum-specific memory B cells in naturally exposed Swedish Travellers.,,,,,,"£1,834.77",,,ROMEO,PMC,DOI,,OAG
,PMC3377085,10.1002/emmm.201100157,Wiley-Blackwell,,1757-4684,none,EMBO Molecular Medicine,Pure OA,Links between genetics and pathophysiology in the autism spectrum disorders,,,,,,"£2,252.44",,,ROMEO,PMC,DOI,,OAG
,PMC3531601,10.1002/emmm.201201650,Wiley-Blackwell,,1757-4684,none,EMBO Molecular Medicine,Pure OA,Defining critical roles for NF-kB p65 and type I interferon in innate immunity to rhinovirus,,,,,,"£2,868.08",,"""'EMBO Molecular Medicine levies an article publication charge of Euro 2,950 per article accepted for publication (Research Articles, Reports, non-commissioned Reviews and Perspectives). There are no additional costs (such as page charges or submission (http://embomolmed.embopress.org/about)charges).""",ROMEO,PMC,DOI,,OAG
,PMC3628103,10.1002/emmm.201201953,Wiley-Blackwell,,1757-4684,none,EMBO Molecular Medicine,Pure OA,Long-term p110alpha PI3K inactivation exerts a beneficial effect on metabolism,,,,,,"£3,078.92",,"""'EMBO Molecular Medicine levies an article publication charge of Euro 2,950 per article accepted for publication (Research Articles, Reports, non-commissioned Reviews and Perspectives). There are no additional costs (such as page charges or submission charges).""",ROMEO,PMC,DOI,,OAG
,PMC3674525,10.1002/gepi.20541,Wiley-Blackwell,,0741-0395,,Genetic Epidemiology,Hybrid,A simple and fast two-locus quality control test to detect false positives due to batch effects in genome-wide association studies.,,,,,,"£2,372.99",,,ROMEO,PMC,DOI,,OAG
,PMC3460225,10.1002/gepi.20630,Wiley-Blackwell,,0741-0395,,Genetic Epidemiology,Hybrid,Transethnic meta-analysis of genome-wide association studies,,,,,,"£2,345.75",,,ROMEO,PMC,DOI,,OAG
,PMC3569874,10.1002/gepi.21675,Wiley-Blackwell,,0741-0395,,Genetic Epidemiology,Hybrid,Genome-wide association analyis of imputed rare variants: application to seven common complex diseases.,,,,,,"£2,286.74",,,ROMEO,PMC,DOI,,OAG
,PMC3842118,10.1002/gepi.21746,Wiley-Blackwell,,,,Genetic Epidemology,Hybrid,Identification of grouped rare and common variants via penalized logisitc regression,,,,,,"£1,911.30",,,,PMC,DOI,,OAG
,PMC3580049,10.1002/glia.21052,Wiley-Blackwell,,0894-1491,,Glia,Hybrid,Injury and differentiation following inhibition of mitochondrial respiratory chain complex IV in rat oligodendrocytes,,,,,,"£2,184.22",,,ROMEO,PMC,DOI,,OAG
,PMC3644876,10.1002/glia.22478,Wiley-Blackwell,,0894-1491,,Glia,Hybrid,Microglia and macrophages differentially modulate cell death after brain injury caused by oxygen-glucose deprivation in organotypic brain slices,,,,,,"£1,977.72",,,ROMEO,PMC,DOI,,OAG
,PMC3504977,10.1002/gps.2727,Wiley-Blackwell,,0885-6230,,International Journal of Geriatric Psychiatry,Hybrid,Strain and its correlates among carers of people with dementia in low and middle income countries. A 10/66 Dementia Research population-based survey,,,,,,"£2,302.93",,,ROMEO,PMC,DOI,,OAG
,PMC3427885,10.1002/hep.23733,Wiley-Blackwell,American Association for the Study of Liver Diseases,1527-3350,12.00,Heptology,Hybrid,"Transcriptiome sequencing, microarray and proteomic analyses reveal cellular and metabolic impact of Hepatitis C virus in vitro",,,,,,"£1,852.01",,,ROMEO,PMC,DOI,,OAG
,PMC3638324,10.1002/hep.25758,Wiley-Blackwell,American Association for the Study of Liver Diseases,1527-3350,12.00,Hepatology,Hybrid,Osteopontin is a novel downstream target of SOX9 with diagnostic implications for progression of liver fibrosis in humans,,,,,,"£2,373.26",,,ROMEO,PMC,DOI,,OAG
,PMC3744754,10.1002/hep.25910,Wiley-Blackwell,American Association for the Study of Liver Diseases,1527-3350,12.00,Hepatology,Hybrid,Heterogeneous claudin-1 expression in human liver,,,,,,"£1,500.00",,,ROMEO,PMC,DOI,,OAG
,PMC3592994,10.1002/hep.26055,Wiley-Blackwell,American Association for the Study of Liver Diseases,1527-3350,12.00,Hepatology,Hybrid,Intrahepatic cholestasis of pregnancy levels of sulfated progesterone metabolites inhibit FXR resulting in a pro-cholestatic phenotype,,,,,,"£1,635.00",,,ROMEO,PMC,DOI,,OAG
23080298,none,10.1002/hep.26108,Wiley-Blackwell,American Association for the Study of Liver Diseases,1527-3350,12.00,Hepatology,Hybrid,Tumor progression locus 2/Cot is required for activation of extracellular regulated kinase in liver injury and toll like receptor induced TIMP-1 gene transcription in hepatic stellate cells in mice,,,,,,"£1,884.30",,,ROMEO,PMC,DOI,,OAG
,PMC3506972,10.1002/hipo.20995,Wiley-Blackwell,Wiley-Blackwell,1050-9631,5.49,Hippocampus,Hybrid,Hippocampal lesions can enhance discrimination learning despite normal sensitivity to interference from incidental information,,,,,,"£2,300.12",,,ROMEO,PMC,DOI,,OAG
,PMC3505796,10.1002/hipo.22037,Wiley-Blackwell,Wiley-Blackwell,1050-9631,5.49,Hippocampus,Hybrid,Patterning of Retinoic Acid Signaling and and Cell Proliferation in the Hippocampus,,,,,,"£1,409.96",,,ROMEO,PMC,DOI,,OAG
,PMC3272220,10.1002/humu.21611,Wiley-Blackwell,Wiley-Blackwell,1059-7794,,Human Mutation,Hybrid,Pseudoachondroplasia and multiple epiphyseal dysplasia: A 7-year comprehensive analysis of the known disease genes identify novel and recurrent mutations and provides an accurate assessment of their relative contribution,,,,,,"£2,310.95",,,ROMEO,PMC,DOI,,OAG
,PMC3746110,10.1002/humu.22155,Wiley-Blackwell,HUman Genome Variation Society,,,Human Mutation,Hybrid,"Associations among genotype, clinical phenotype, and intracellular localization of trafficking proteins in ARC syndrome",,,,,,"£1,500.00",,,,PMC,DOI,,OAG
,PMC3532612,10.1002/ibd.22952,Wiley-Blackwell,,1078-0998,,Inflammatory Bowel Diseases,Hybrid,Defective TNF release from Crohn’s disease macrophages in response to Toll-like receptor activation: relationship to phenotype and genome-wide association susceptibility loci,,,,,,"£1,927.56",,,ROMEO,PMC,DOI,,OAG
,PMC3607410,10.1002/jbmr.120,Wiley-Blackwell,American Society for Bone and Mineral Research,1523-4681,6.13,Journal of Bone and Mineral Research,Hybrid,Regulation of human bone marrow stromal cell proliferation and differentiation,,,,,,£755.45,,,ROMEO,PMC,DOI,,OAG
,PMC3746124,10.1002/jcp.24110,Wiley-Blackwell,,,,Journal of Cell Physiology,Hybrid,The dynamics of PKC-induced phosphorylation triggered by Ca2+ oscillations in mouse eggs,,,,,,"£2,380.96",,,,PMC,DOI,,OAG
,PMC3580885,10.1002/jhbs.21577,Wiley-Blackwell,,0022-5061,,Journal of the History of the Behavioral Sciences,Hybrid,"Normalizing the supernormal: The formation of the “Gesellschaft für Psychologische Forschung” (“Society for Psychological Research”), c. 1886-1890",,,,,,"£2,296.94",,,ROMEO,PMC,DOI,,OAG
,PMC3798117,10.1002/jmv.23696,Wiley-Blackwell,,1096-9071,2.37,Journal of Medical Virology,Hybrid,The Kinetics of the Neutralizing antibody response to respiratory syncytial infections in a birth cohort,,,Publisher copyright,Publishers copyright,,"£1,834.77",Michelle Brook,,ROMEO,PMC,DOI,,OAG
,PMC3736148,10.1002/jor.22364,Wiley-Blackwell,,,,Journal of Orthopedic Research,Hybrid,Hip abduction can prevent posterior edge loading of hip replacements,,,,,,"£2,374.52",,,,PMC,DOI,,OAG
,PMC3664409,10.1002/mds.23671,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Limb amputations in fixed dystonia: a form of body integrity identity disorder,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,n/a,10.1002/mds.23681,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Botulinum toxin injections reduce associative plasticity in patients with primary dystonia,,,Publisher copyright,Other,Yes,"£2,379.69",Theo Andrew,Copyright © 2011 Movement Disorder Society,ROMEO,PMC,DOI,,OAG
,PMC3672686,10.1002/mds.23794,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Ability to cycle despite severe freezing of gait in atypical parkinsonism in Fahr's syndrome,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,Copyright © 2011 Movement Disorder Society,ROMEO,PMC,DOI,,OAG
,PMC3664413,10.1002/mds.23922,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,"Moving toward ""laboratory-supported"" criteria for psychogenic tremor.",,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3664414,10.1002/mds.24924,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Identical Twins with Leucine Rich Repeat Kinase type 2 Mutations Discordant for Parkinsons Disease,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,n/a,10.1002/mds.24945,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Hyposmia and cognitive impairment in Gaucher disease patients and carriers,,,Publisher copyright,Other,Yes,"£2,395.87",Theo Andrew,Copyright © 2012 Movement Disorder Society,ROMEO,PMC,DOI,,OAG
,PMC3660780,10.1002/mds.25102,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Is transcranial sonography useful to distinguish SWEDDs patients from Parkinson`s disease?,,,CC-BY,Other,Yes,"£1,500.00",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3664426,10.1002/mds.25138,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Dystonia with brain manganese accumulation due to SLC30A10 mutations: a new treatable disorder,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,Copyright © 2012 Movement Disorder Society,ROMEO,PMC,DOI,,OAG
,PMC3664430,10.1002/mds.25146,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,THAP1 mutations and dystonia phenotypes: a metanalysis and genotype phenotypecorrelations,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3633239,10.1002/mds.25190,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Psychogenic facial movement disorders: Clinical features and associated conditions,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3664415,10.1002/mds.25305,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Sensory tricks in primary cervical dystonia depend on visuo-tactile temporal discrimination,,,CC-BY,Other,Yes,"£2,010.24",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3748791,10.1002/mds.25341,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Primary progressive aphasia with parkinsonism,,,CC-BY,Other,Yes,"£2,275.58",Theo Andrew,© 2013 Movement Disorder Society,ROMEO,PMC,DOI,,OAG
,PMC3739929,10.1002/mds.25486,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Parkin disease and the Lewy body conundrum,,,CC-BY,Other,Yes,"£1,500.00",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3739940,10.1002/mds.25502,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Somatic Alpha-Synuclein Mutations in Parkinson's Disease: Hypothesis and Preliminary Data,,,CC-BY,Other,Yes,"£1,005.00",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3886301,10.1002/mds.25535,Wiley-Blackwell,International Parkinsons and Movement Disorder Society,1531-8257,4.56,Movement Disorders,Hybrid,Genotype and Phenotype in Parkinson's disease- lessons in heterogeneity from Deep Brain Stimulation,,,CC-BY,Other,Yes,"£1,500.00",Theo Andrew,,ROMEO,PMC,DOI,,OAG
,PMC3792745,10.1002/mrm.24467,Wiley-Blackwell,,1522-2594,none,Magnetic Resonance in Medicine,Hybrid,Retrospective correction of physiological noise in DTI using an extended tensor model and peripheral measurements,,,,,,"£2,374.51",,,ROMEO,PMC,DOI,,OAG
,n/a,10.1002/mus.23784,Wiley-Blackwell,,1097-4598,2.31,Muscle and Nerve,Hybrid,Heterogeneity of quadriceps muscle phenotype in chronic obstructive pulmonary disease (Copd); implications for stratified medicine?,,,Publisher copyright,Publisher copyright,Yes,"£2,371.54",Theo Andrew,"Copyright © 2013 Wiley Periodicals, Inc.",ROMEO,PMC,DOI,,OAG
,PMC3609073,10.1002/path.4002,Wiley-Blackwell,The Pathological Society of Great Britain and Ireland,1096-9896,,Journal of Pathology,Hybrid,The peritoneal microenvironment of hig-grade serous ovarian cancer,,,,,,"£1,897.33",,,ROMEO,PMC,DOI,,OAG
,PMC3619233,10.1002/path.4132,Wiley-Blackwell,The Pathological Society of Great Britain and Ireland,1096-9896,,Journal of Pathology,Hybrid,Whole-genome methylation analysis of benign and malignant colorectal tumours.,,,,,,"£2,248.94",,,ROMEO,PMC,DOI,,OAG
,PMC3588155,10.1002/path.4139,Wiley-Blackwell,The Pathological Society of Great Britain and Ireland,1096-9896,,Journal of Pathology,Hybrid,Use of multivariate analysis to suggest a new molecular classification of colorectal cancer.,,,,,,"£2,276.53",,,ROMEO,PMC,DOI,,OAG
,PMC3569869,10.1002/pmic.201200228,Wiley-Blackwell,,1615-9861,4.13,Protemics,Hybrid,Carbon source-induced reprogramming of the cell wall proteome and secretome modulates the adherence and drug resistance of the fungal pathogen Candida albicans,,,,,,"£1,409.96",,,ROMEO,PMC,DOI,,OAG
,PMC3649266,10.1002/pro.2250,Wiley-Blackwell,The Protein Society,1469-896X,2.74,Protein Science,Hybrid,Clostridium perfringens epsilon toxin H149A mutant as a platform for receptor binding studies,,,,,,"£1,935.60",,,ROMEO,PMC,DOI,,OAG
none,none,10.1002/psp.1794,Wiley-Blackwell,,1544-8452,1.86,"Population, Space and Place",Hybrid,Gendered Patterns of Migration in Rural South Africa,,,,,,"£1,836.92",,,ROMEO,PMC,DOI,,OAG
,PMC3568905,10.1002/rcm.6282,Wiley-Blackwell,,1097-0231,2.51,Rapid Communications in Mass Spectrometry,Hybrid,"The role of conformational flexibility in B2, microglobulin amyloid fibril formation at neutral pH.",,,,,,"£1,853.00",,,ROMEO,PMC,DOI,,OAG
,PMC3963448,10.1002/sim.5844,Wiley-Blackwell,,1097-0258,2.04,Statistics in Medicine,Hybrid,Combining multiple imputation and meta-analysis with individual participant data,,,,,,£791.19,,,ROMEO,PMC,DOI,,OAG
,PMC3593166,10.1002/stem.1053,Wiley-Blackwell,Alpha-Med Press,1549-4918,7.70,Stem Cells,Hybrid,Derivation and functional analysis of patient-specific induced pluripotent stem cells as an in vitro model of chronic granulomatous disease,,,,,,"£1,533.71",,,ROMEO,PMC,DOI,,OAG
,PMC3664106,10.1002/stem.1360,Wiley-Blackwell,Alpha-Med Press,1549-4918,7.70,Stem Cells,Hybrid,Matrix remodelling maintains ESC self-renewal by activating Stat3,,,,,,"£1,551.49",,,ROMEO,PMC,DOI,,OAG
,PMC3813980,10.1002/stem.1385,Wiley-Blackwell,Alpha-Med Press,1549-4918,7.70,Stem Cells,Hybrid,Uterine Vasculature Remodelling in Human Pregnancy Involves Functional Macro-chimerism by Endothelial Colony Forming Cells of fetal origin,,,,,,"£1,287.75",,,ROMEO,PMC,DOI,,OAG
23649667,none,10.1002/stem.1426,Wiley-Blackwell,Alpha-Med Press,1549-4918,7.70,Stem Cells,Hybrid,Hes1 Desynchronizes Differentiation of Pluripotent Cells by Modulating STAT3 Activity.,,,,,,"£1,826.00",,,ROMEO,PMC,DOI,,OAG
